Node1,Node2,edgelength,slope,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade
"(-15392.2306, 145119.345)","(-15384.5015, 145208.1582)",89.149,10.2,430656.51,167457.26,645984.76,322992.38,167457.26
"(-15392.2306, 145119.345)","(-15435.4598, 145146.2284)",50.907,10.2,245917.32,95622.94,368875.97,184437.99,95622.94
"(-15245.5376, 145986.6579)","(-15282.155, 145929.1411)",0.535,19.8,2584.81,1005.08,3877.21,1938.6,1005.08
"(-14125.0019, 145421.7831)","(-14108.9396, 145408.9693)",14.905,18.2,72004.34,27998.3,108006.5,54003.25,27998.3
"(-14125.0019, 145421.7831)","(-14159.4073, 145449.2302)",5.793,18.2,27984.87,10881.69,41977.31,20988.66,10881.69
"(-14824.6061, 145984.2624)","(-14766.4691, 145983.1524)",51.645,19.2,249482.92,97009.39,374224.37,187112.19,97009.39
"(-14824.6061, 145984.2624)","(-14829.6406, 145965.9766)",68.937,19.2,333019.19,129491.79,499528.79,249764.39,129491.79
"(-14709.406, 145878.1483)","(-14691.1497, 145899.5797)",57.165,21.5,276149.08,107378.31,414223.62,207111.81,107378.31
"(-14709.406, 145878.1483)","(-14733.7894, 145884.5466)",35.919,21.5,173513.79,67469.42,260270.68,130135.34,67469.42
"(-15411.6487, 146987.1032)","(-15453.7936, 146982.6592)",42.379,25.8,318453.63,113733.44,477680.45,238840.23,113733.44
"(-15411.6487, 146987.1032)","(-15396.9643, 147002.9783)",21.625,25.8,162502.76,58036.7,243754.14,121877.07,58036.7
"(-14663.8975, 145825.0199)","(-14694.0601, 145772.6323)",67.627,16.4,326691.77,127031.42,490037.65,245018.83,127031.42
"(-14663.8975, 145825.0199)","(-14613.0975, 145893.2826)",23.073,16.4,111462.42,43341.25,167193.63,83596.81,43341.25
"(-14529.928, 146098.5977)","(-14479.9291, 146109.9111)",44.229,16.4,213658.48,83079.35,320487.72,160243.86,83079.35
"(-14529.928, 146098.5977)","(-14575.1905, 146154.285)",26.682,16.4,128895.91,50120.12,193343.86,96671.93,50120.12
"(-15115.3184, 147352.4936)","(-15115.2786, 147289.4607)",12.732,18.2,61504.5,23915.52,92256.75,46128.38,23915.52
"(-14042.463, 145639.4622)","(-13939.2067, 145583.1859)",28.943,18.2,139814.44,54365.7,209721.65,104860.83,54365.7
"(-14042.463, 145639.4622)","(-14101.653, 145649.7891)",41.277,18.2,199401.0,77535.45,299101.49,149550.75,77535.45
"(-13805.6841, 146637.2951)","(-13815.664, 146585.8803)",81.054,16.6,391550.29,152251.13,587325.44,293662.72,152251.13
"(-13805.6841, 146637.2951)","(-13776.3922, 146693.6031)",79.379,18.2,383462.79,149106.37,575194.19,287597.09,149106.37
"(-15380.9306, 146181.943)","(-15381.0214, 146181.5298)",0.423,19.4,2043.69,794.67,3065.54,1532.77,794.67
"(-15380.9306, 146181.943)","(-15380.529, 146183.7689)",1.87,19.4,9031.31,3511.75,13546.96,6773.48,3511.75
"(-13901.7066, 145451.0326)","(-13969.7284, 145450.0679)",29.6,18.2,142989.6,55600.34,214484.4,107242.2,55600.34
"(-14752.9844, 146834.6182)","(-14752.8349, 146834.4285)",25.831,23.2,124782.64,48520.71,187173.96,93586.98,48520.71
"(-15023.3473, 146111.9012)","(-15012.5175, 146136.2126)",32.785,28.8,246361.84,87986.37,369542.76,184771.38,87986.37
"(-15023.3473, 146111.9012)","(-15031.4245, 146093.7693)",65.291,26.6,490630.46,175225.16,735945.69,367972.85,175225.16
"(-14366.6427, 146796.4774)","(-14414.755, 146780.3815)",61.947,17.2,299249.54,116360.74,448874.31,224437.15,116360.74
"(-14366.6427, 146796.4774)","(-14291.5929, 146822.3352)",61.627,17.9,297704.24,115759.86,446556.36,223278.18,115759.86
"(-15350.4287, 146312.0168)","(-15370.2043, 146367.2407)",58.658,19.4,283362.18,110183.07,425043.27,212521.63,110183.07
"(-13665.6817, 147046.2597)","(-13687.9127, 147043.539)",48.601,18.2,234780.65,91292.54,352170.97,176085.48,91292.54
"(-13665.6817, 147046.2597)","(-13620.5873, 146999.5969)",50.763,18.2,245226.01,95354.13,367839.01,183919.51,95354.13
"(-15267.1555, 146112.4075)","(-15256.1733, 146061.7306)",93.277,21.5,450598.54,175211.56,675897.81,337948.91,175211.56
"(-15553.4299, 146940.2644)","(-15549.5498, 146882.5927)",57.802,19.4,279227.73,108575.42,418841.6,209420.8,108575.42
"(-15553.4299, 146940.2644)","(-15553.254, 146959.322)",19.058,19.4,92066.54,35799.32,138099.81,69049.9,35799.32
"(-13855.1699, 146996.1502)","(-13910.8232, 146974.7825)",50.118,18.2,242108.9,94142.07,363163.35,181581.67,94142.07
