0.0 * C_node3node43_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1447.0 * C_node4node8_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1218.34 * C_node4node8_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
863.7 * C_node4node8_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
612.29 * C_node4node8_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
434.07 * C_node4node8_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
307.72 * C_node4node8_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2168.0 * C_node4node8_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1825.4 * C_node4node8_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1294.06 * C_node4node8_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
917.38 * C_node4node8_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
650.35 * C_node4node8_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
461.05 * C_node4node8_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1508.0 * C_node4node17_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1269.7 * C_node4node17_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
900.11 * C_node4node17_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
638.11 * C_node4node17_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
452.37 * C_node4node17_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
320.69 * C_node4node17_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2263.0 * C_node4node17_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1905.39 * C_node4node17_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1350.76 * C_node4node17_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
957.58 * C_node4node17_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
678.85 * C_node4node17_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
481.25 * C_node4node17_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
4216.0 * C_node4node30_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
3549.76 * C_node4node30_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
2516.49 * C_node4node30_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1783.99 * C_node4node30_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
1264.7 * C_node4node30_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
896.57 * C_node4node30_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
6324.0 * C_node4node30_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
5324.64 * C_node4node30_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
3774.74 * C_node4node30_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
2675.98 * C_node4node30_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1897.05 * C_node4node30_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
1344.86 * C_node4node30_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node39_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node39_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node39_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node39_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node39_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node39_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node39_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node39_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node39_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node39_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node39_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node39_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node40_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node40_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node40_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node40_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node40_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node40_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node40_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node40_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node40_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node40_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node40_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
