variable,coefficient,type,prefix,width,edge,period
C_node5node83_wide_t4,0.0,B,C,wide,,4
C_node5node83_wide_t5,0.0,B,C,wide,,5
C_node6node29_timber_t0,955.0,B,C,timber,,0
C_node6node29_timber_t1,804.08,B,C,timber,,1
C_node6node29_timber_t2,570.03,B,C,timber,,2
C_node6node29_timber_t3,404.11,B,C,timber,,3
C_node6node29_timber_t4,286.48,B,C,timber,,4
C_node6node29_timber_t5,203.09,B,C,timber,,5
C_node6node29_wide_t0,1435.0,B,C,wide,,0
C_node6node29_wide_t1,1208.23,B,C,wide,,1
C_node6node29_wide_t2,856.54,B,C,wide,,2
C_node6node29_wide_t3,607.22,B,C,wide,,3
C_node6node29_wide_t4,430.47,B,C,wide,,4
C_node6node29_wide_t5,305.17,B,C,wide,,5
C_node6node11_timber_t0,3228.0,B,C,timber,,0
C_node6node11_timber_t1,2717.89,B,C,timber,,1
C_node6node11_timber_t2,1926.76,B,C,timber,,2
C_node6node11_timber_t3,1365.92,B,C,timber,,3
C_node6node11_timber_t4,968.33,B,C,timber,,4
C_node6node11_timber_t5,686.46,B,C,timber,,5
C_node6node11_wide_t0,4838.0,B,C,wide,,0
C_node6node11_wide_t1,4073.47,B,C,wide,,1
C_node6node11_wide_t2,2887.76,B,C,wide,,2
C_node6node11_wide_t3,2047.19,B,C,wide,,3
C_node6node11_wide_t4,1451.29,B,C,wide,,4
C_node6node11_wide_t5,1028.85,B,C,wide,,5
C_node6node75_timber_t0,0.0,B,C,timber,,0
C_node6node75_timber_t1,0.0,B,C,timber,,1
C_node6node75_timber_t2,0.0,B,C,timber,,2
C_node6node75_timber_t3,0.0,B,C,timber,,3
C_node6node75_timber_t4,0.0,B,C,timber,,4
C_node6node75_timber_t5,0.0,B,C,timber,,5
C_node6node75_wide_t0,0.0,B,C,wide,,0
C_node6node75_wide_t1,0.0,B,C,wide,,1
C_node6node75_wide_t2,0.0,B,C,wide,,2
C_node6node75_wide_t3,0.0,B,C,wide,,3
C_node6node75_wide_t4,0.0,B,C,wide,,4
C_node6node75_wide_t5,0.0,B,C,wide,,5
C_node6node81_timber_t0,0.0,B,C,timber,,0
C_node6node81_timber_t1,0.0,B,C,timber,,1
C_node6node81_timber_t2,0.0,B,C,timber,,2
C_node6node81_timber_t3,0.0,B,C,timber,,3
C_node6node81_timber_t4,0.0,B,C,timber,,4
C_node6node81_timber_t5,0.0,B,C,timber,,5
C_node6node81_wide_t0,0.0,B,C,wide,,0
C_node6node81_wide_t1,0.0,B,C,wide,,1
C_node6node81_wide_t2,0.0,B,C,wide,,2
C_node6node81_wide_t3,0.0,B,C,wide,,3
C_node6node81_wide_t4,0.0,B,C,wide,,4
C_node6node81_wide_t5,0.0,B,C,wide,,5
C_node7node38_timber_t0,413.0,B,C,timber,,0
C_node7node38_timber_t1,347.73,B,C,timber,,1
C_node7node38_timber_t2,246.52,B,C,timber,,2
C_node7node38_timber_t3,174.76,B,C,timber,,3
C_node7node38_timber_t4,123.89,B,C,timber,,4
C_node7node38_timber_t5,87.83,B,C,timber,,5
C_node7node38_wide_t0,620.0,B,C,wide,,0
C_node7node38_wide_t1,522.02,B,C,wide,,1
C_node7node38_wide_t2,370.07,B,C,wide,,2
C_node7node38_wide_t3,262.35,B,C,wide,,3
C_node7node38_wide_t4,185.99,B,C,wide,,4
C_node7node38_wide_t5,131.85,B,C,wide,,5
C_node7node62_timber_t0,2339.0,B,C,timber,,0
C_node7node62_timber_t1,1969.38,B,C,timber,,1
C_node7node62_timber_t2,1396.13,B,C,timber,,2
C_node7node62_timber_t3,989.74,B,C,timber,,3
C_node7node62_timber_t4,701.65,B,C,timber,,4
C_node7node62_timber_t5,497.41,B,C,timber,,5
C_node7node62_wide_t0,3508.0,B,C,wide,,0
C_node7node62_wide_t1,2953.64,B,C,wide,,1
C_node7node62_wide_t2,2093.89,B,C,wide,,2
C_node7node62_wide_t3,1484.4,B,C,wide,,3
C_node7node62_wide_t4,1052.32,B,C,wide,,4
C_node7node62_wide_t5,746.01,B,C,wide,,5
C_node7node81_timber_t0,0.0,B,C,timber,,0
C_node7node81_timber_t1,0.0,B,C,timber,,1
C_node7node81_timber_t2,0.0,B,C,timber,,2
C_node7node81_timber_t3,0.0,B,C,timber,,3
C_node7node81_timber_t4,0.0,B,C,timber,,4
C_node7node81_timber_t5,0.0,B,C,timber,,5
C_node7node81_wide_t0,0.0,B,C,wide,,0
C_node7node81_wide_t1,0.0,B,C,wide,,1
C_node7node81_wide_t2,0.0,B,C,wide,,2
C_node7node81_wide_t3,0.0,B,C,wide,,3
C_node7node81_wide_t4,0.0,B,C,wide,,4
C_node7node81_wide_t5,0.0,B,C,wide,,5
C_node7node82_timber_t0,0.0,B,C,timber,,0
C_node7node82_timber_t1,0.0,B,C,timber,,1
C_node7node82_timber_t2,0.0,B,C,timber,,2
C_node7node82_timber_t3,0.0,B,C,timber,,3
C_node7node82_timber_t4,0.0,B,C,timber,,4
C_node7node82_timber_t5,0.0,B,C,timber,,5
C_node7node82_wide_t0,0.0,B,C,wide,,0
C_node7node82_wide_t1,0.0,B,C,wide,,1
C_node7node82_wide_t2,0.0,B,C,wide,,2
C_node7node82_wide_t3,0.0,B,C,wide,,3
C_node7node82_wide_t4,0.0,B,C,wide,,4
C_node7node82_wide_t5,0.0,B,C,wide,,5
C_node8node20_timber_t0,1161.0,B,C,timber,,0
C_node8node20_timber_t1,977.53,B,C,timber,,1
C_node8node20_timber_t2,692.99,B,C,timber,,2
C_node8node20_timber_t3,491.27,B,C,timber,,3
C_node8node20_timber_t4,348.27,B,C,timber,,4
C_node8node20_timber_t5,246.9,B,C,timber,,5
C_node8node20_wide_t0,1741.0,B,C,wide,,0
C_node8node20_wide_t1,1465.88,B,C,wide,,1
C_node8node20_wide_t2,1039.19,B,C,wide,,2
C_node8node20_wide_t3,736.7,B,C,wide,,3
C_node8node20_wide_t4,522.26,B,C,wide,,4
C_node8node20_wide_t5,370.24,B,C,wide,,5
C_node8node59_timber_t0,2171.0,B,C,timber,,0
C_node8node59_timber_t1,1827.92,B,C,timber,,1
C_node8node59_timber_t2,1295.85,B,C,timber,,2
C_node8node59_timber_t3,918.65,B,C,timber,,3
C_node8node59_timber_t4,651.25,B,C,timber,,4
C_node8node59_timber_t5,461.68,B,C,timber,,5
C_node8node59_wide_t0,3257.0,B,C,wide,,0
C_node8node59_wide_t1,2742.31,B,C,wide,,1
C_node8node59_wide_t2,1944.07,B,C,wide,,2
C_node8node59_wide_t3,1378.19,B,C,wide,,3
C_node8node59_wide_t4,977.02,B,C,wide,,4
C_node8node59_wide_t5,692.63,B,C,wide,,5
C_node8node79_timber_t0,0.0,B,C,timber,,0
C_node8node79_timber_t1,0.0,B,C,timber,,1
C_node8node79_timber_t2,0.0,B,C,timber,,2
C_node8node79_timber_t3,0.0,B,C,timber,,3
C_node8node79_timber_t4,0.0,B,C,timber,,4
C_node8node79_timber_t5,0.0,B,C,timber,,5
C_node8node79_wide_t0,0.0,B,C,wide,,0
C_node8node79_wide_t1,0.0,B,C,wide,,1
C_node8node79_wide_t2,0.0,B,C,wide,,2
C_node8node79_wide_t3,0.0,B,C,wide,,3
C_node8node79_wide_t4,0.0,B,C,wide,,4
C_node8node79_wide_t5,0.0,B,C,wide,,5
C_node8node82_timber_t0,0.0,B,C,timber,,0
C_node8node82_timber_t1,0.0,B,C,timber,,1
C_node8node82_timber_t2,0.0,B,C,timber,,2
C_node8node82_timber_t3,0.0,B,C,timber,,3
C_node8node82_timber_t4,0.0,B,C,timber,,4
C_node8node82_timber_t5,0.0,B,C,timber,,5
C_node8node82_wide_t0,0.0,B,C,wide,,0
C_node8node82_wide_t1,0.0,B,C,wide,,1
C_node8node82_wide_t2,0.0,B,C,wide,,2
C_node8node82_wide_t3,0.0,B,C,wide,,3
C_node8node82_wide_t4,0.0,B,C,wide,,4
C_node8node82_wide_t5,0.0,B,C,wide,,5
C_node9node12_timber_t0,517.0,B,C,timber,,0
C_node9node12_timber_t1,435.3,B,C,timber,,1
C_node9node12_timber_t2,308.59,B,C,timber,,2
C_node9node12_timber_t3,218.77,B,C,timber,,3
C_node9node12_timber_t4,155.09,B,C,timber,,4
C_node9node12_timber_t5,109.94,B,C,timber,,5
C_node9node12_wide_t0,775.0,B,C,wide,,0
C_node9node12_wide_t1,652.53,B,C,wide,,1
C_node9node12_wide_t2,462.59,B,C,wide,,2
C_node9node12_wide_t3,327.94,B,C,wide,,3
C_node9node12_wide_t4,232.48,B,C,wide,,4
C_node9node12_wide_t5,164.81,B,C,wide,,5
C_node9node40_timber_t0,4434.0,B,C,timber,,0
C_node9node40_timber_t1,3733.31,B,C,timber,,1
C_node9node40_timber_t2,2646.61,B,C,timber,,2
C_node9node40_timber_t3,1876.23,B,C,timber,,3
C_node9node40_timber_t4,1330.1,B,C,timber,,4
C_node9node40_timber_t5,942.93,B,C,timber,,5
C_node9node40_wide_t0,6655.0,B,C,wide,,0
C_node9node40_wide_t1,5603.33,B,C,wide,,1
C_node9node40_wide_t2,3972.31,B,C,wide,,2
C_node9node40_wide_t3,2816.04,B,C,wide,,3
C_node9node40_wide_t4,1996.35,B,C,wide,,4
C_node9node40_wide_t5,1415.25,B,C,wide,,5
C_node9node73_timber_t0,0.0,B,C,timber,,0
C_node9node73_timber_t1,0.0,B,C,timber,,1
C_node9node73_timber_t2,0.0,B,C,timber,,2
C_node9node73_timber_t3,0.0,B,C,timber,,3
C_node9node73_timber_t4,0.0,B,C,timber,,4
C_node9node73_timber_t5,0.0,B,C,timber,,5
C_node9node73_wide_t0,0.0,B,C,wide,,0
C_node9node73_wide_t1,0.0,B,C,wide,,1
C_node9node73_wide_t2,0.0,B,C,wide,,2
C_node9node73_wide_t3,0.0,B,C,wide,,3
C_node9node73_wide_t4,0.0,B,C,wide,,4
C_node9node73_wide_t5,0.0,B,C,wide,,5
C_node9node74_timber_t0,0.0,B,C,timber,,0
C_node9node74_timber_t1,0.0,B,C,timber,,1
C_node9node74_timber_t2,0.0,B,C,timber,,2
