C_wide_node5node17_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node17_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node17_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node17_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node17_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node92_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node92_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node92_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node92_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node92_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node92_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_timber_node5node52_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t2: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t3: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t4: lb=0.0, ub=1.0, type=B, cost=N/A
C_timber_node5node52_t5: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t0: lb=0.0, ub=0.0, type=B, cost=N/A
C_wide_node5node52_t1: lb=0.0, ub=1.0, type=B, cost=N/A
C_wide_node5node52_t2: lb=0.0, ub=1.0, type=B, cost=N/A
