"Source(x,y)","Target(x,y)"
"(-12204.39288, 150703.88121)","(-12482.69789, 150476.59119)"
"(-12417.27058, 150801.19761)","(-12415.94768, 150663.74621)"
"(-12417.27058, 150801.19761)","(-12730.80248, 150707.27031)"
"(-12417.27058, 150801.19761)","(-12431.95498, 150877.72851)"
"(-12417.27058, 150801.19761)","(-12567.75859, 150668.47886)"
"(-12664.03048, 150521.83051)","(-12415.94768, 150663.74621)"
"(-12664.03048, 150521.83051)","(-12730.80248, 150707.27031)"
"(-12664.03048, 150521.83051)","(-12713.51408, 150173.77301)"
"(-12664.03048, 150521.83051)","(-12482.69789, 150476.59119)"
"(-12664.03048, 150521.83051)","(-12567.75859, 150668.47886)"
"(-12482.69789, 150476.59119)","(-12415.94768, 150663.74621)"
"(-12482.69789, 150476.59119)","(-12193.00388, 150408.57981)"
"(-12482.69789, 150476.59119)","(-12204.39288, 150703.88121)"
"(-12482.69789, 150476.59119)","(-12630.04948, 150215.18591)"
"(-12482.69789, 150476.59119)","(-12664.03048, 150521.83051)"
"(-12482.69789, 150476.59119)","(-12713.51408, 150173.77301)"
"(-12567.75859, 150668.47886)","(-12415.94768, 150663.74621)"
"(-12567.75859, 150668.47886)","(-12417.27058, 150801.19761)"
"(-12567.75859, 150668.47886)","(-12730.80248, 150707.27031)"
"(-12567.75859, 150668.47886)","(-12664.03048, 150521.83051)"
"(-12580.68998, 146607.75611)","(-12451.77348, 146591.56311)"
"(-12580.68998, 146607.75611)","(-12645.86123, 146575.13652)"
"(-12580.68998, 146607.75611)","(-12573.93998, 146944.30511)"
"(-12451.77348, 146591.56311)","(-12580.68998, 146607.75611)"
"(-12451.77348, 146591.56311)","(-12203.62278, 146868.49841)"
"(-12645.86123, 146575.13652)","(-12580.68998, 146607.75611)"
"(-12645.86123, 146575.13652)","(-13788.95158, 147217.47001)"
"(-12856.57828, 147058.04901)","(-12730.49258, 147044.27301)"
"(-12856.57828, 147058.04901)","(-13023.58006, 147093.60981)"
"(-12845.70708, 148850.55401)","(-12962.70158, 148897.86801)"
"(-12845.70708, 148850.55401)","(-13005.98838, 148606.90471)"
"(-12845.70708, 148850.55401)","(-12615.97978, 149059.73551)"
"(-12845.70708, 148850.55401)","(-12704.06565, 148795.67262)"
"(-12845.70708, 148850.55401)","(-12911.237, 149019.71742)"
"(-13242.88528, 149724.48541)","(-13198.59018, 149677.26611)"
"(-13242.88528, 149724.48541)","(-13398.16458, 149824.60111)"
"(-13242.88528, 149724.48541)","(-13157.07228, 150118.38961)"
"(-13242.88528, 149724.48541)","(-13032.42201, 149899.99789)"
"(-13242.88528, 149724.48541)","(-13301.84237, 149934.63369)"
"(-13198.59018, 149677.26611)","(-13242.88528, 149724.48541)"
"(-13198.59018, 149677.26611)","(-12931.20988, 149482.68611)"
"(-13198.59018, 149677.26611)","(-12815.40568, 149829.76891)"
"(-13198.59018, 149677.26611)","(-13032.42201, 149899.99789)"
"(-13198.59018, 149677.26611)","(-12666.14925, 149667.58121)"
"(-13398.16458, 149824.60111)","(-13242.88528, 149724.48541)"
"(-13398.16458, 149824.60111)","(-13268.95768, 150156.41771)"
"(-13398.16458, 149824.60111)","(-13513.26518, 149711.07671)"
"(-13398.16458, 149824.60111)","(-13301.84237, 149934.63369)"
"(-13398.16458, 149824.60111)","(-13561.87851, 149978.584)"
"(-13157.07228, 150118.38961)","(-13242.88528, 149724.48541)"
