"Source(x,y)","Target(x,y)"
"(-13474.12238, 149625.13341)","(-13513.26518, 149711.07671)"
"(-13398.16458, 149824.60111)","(-13513.26518, 149711.07671)"
"(-13254.19366, 149464.37443)","(-13513.26518, 149711.07671)"
"(-13561.87851, 149978.58399)","(-13513.26518, 149711.07671)"
"(-14459.27998, 148782.04391)","(-14508.68698, 148862.21821)"
"(-14540.70728, 149022.29541)","(-14508.68698, 148862.21821)"
"(-14559.30131, 148727.3699)","(-14508.68698, 148862.21821)"
"(-14468.39677, 148629.44725)","(-14508.68698, 148862.21821)"
"(-14259.36327, 148751.24827)","(-14508.68698, 148862.21821)"
"(-13601.18568, 148727.86361)","(-13541.13018, 148740.11621)"
"(-13489.1778, 148787.13356)","(-13541.13018, 148740.11621)"
"(-13479.42886, 148513.25675)","(-13541.13018, 148740.11621)"
"(-13590.11442, 148854.66064)","(-13541.13018, 148740.11621)"
"(-12902.22938, 147791.44611)","(-12648.09898, 147728.21881)"
"(-12489.67768, 147669.66561)","(-12648.09898, 147728.21881)"
"(-12196.46238, 147903.70951)","(-12648.09898, 147728.21881)"
"(-12340.19063, 147770.23171)","(-12648.09898, 147728.21881)"
"(-12492.32844, 147882.62806)","(-12648.09898, 147728.21881)"
"(-12802.25184, 147648.57319)","(-12648.09898, 147728.21881)"
"(-13760.03664, 148073.28504)","(-13634.20328, 148057.00371)"
"(-13518.40748, 148061.29538)","(-13634.20328, 148057.00371)"
"(-13432.83625, 147809.62672)","(-13634.20328, 148057.00371)"
"(-13827.41254, 148018.7185)","(-13634.20328, 148057.00371)"
"(-14102.65778, 150653.72541)","(-14121.39628, 150690.62311)"
"(-14161.38983, 150772.4352)","(-14121.39628, 150690.62311)"
"(-13811.45694, 150574.65541)","(-14121.39628, 150690.62311)"
"(-13770.58302, 150444.51246)","(-14121.39628, 150690.62311)"
"(-14200.81242, 150601.64345)","(-14121.39628, 150690.62311)"
"(-13822.99718, 150843.18972)","(-14121.39628, 150690.62311)"
"(-14024.03208, 150441.16541)","(-14267.39888, 150386.63271)"
"(-14321.18003, 150595.76983)","(-14267.39888, 150386.63271)"
"(-14091.62136, 150375.00936)","(-14267.39888, 150386.63271)"
"(-14200.81242, 150601.64345)","(-14267.39888, 150386.63271)"
"(-12730.80248, 150707.27031)","(-12417.27058, 150801.19761)"
"(-12431.95498, 150877.72851)","(-12417.27058, 150801.19761)"
