"Source(x,y)","Target(x,y)"
"(-14486.36158, 148966.53891)","(-14269.57668, 148533.53211)"
"(-14486.36158, 148966.53891)","(-14345.5093, 148722.57501)"
"(-12730.80248, 150707.27031)","(-12664.03048, 150521.83051)"
"(-12730.80248, 150707.27031)","(-12567.75859, 150668.47886)"
"(-13515.87128, 150205.52941)","(-13561.87851, 149978.584)"
"(-13515.87128, 150205.52941)","(-13643.11667, 150156.67757)"
"(-12743.46288, 149316.06771)","(-12931.20988, 149482.68611)"
"(-12743.46288, 149316.06771)","(-12847.34169, 149222.21063)"
"(-12743.46288, 149316.06771)","(-12666.14925, 149667.58121)"
"(-11529.38348, 147400.07031)","(-12192.16702, 146876.89672)"
"(-12784.22368, 147864.57911)","(-12771.5825, 148051.46174)"
"(-12784.22368, 147864.57911)","(-13290.59419, 147587.12927)"
"(-12630.04948, 150215.18591)","(-12713.51408, 150173.77301)"
"(-12630.04948, 150215.18591)","(-12482.69789, 150476.59119)"
"(-12630.04948, 150215.18591)","(-12571.66956, 150052.70114)"
"(-14082.90658, 148243.02061)","(-14069.78638, 148330.28551)"
"(-14082.90658, 148243.02061)","(-14083.29341, 148038.77795)"
"(-12931.20988, 149482.68611)","(-12847.34169, 149222.21063)"
"(-12931.20988, 149482.68611)","(-12666.14925, 149667.58121)"
"(-12664.03048, 150521.83051)","(-12713.51408, 150173.77301)"
"(-12664.03048, 150521.83051)","(-12482.69789, 150476.59119)"
"(-12664.03048, 150521.83051)","(-12567.75859, 150668.47886)"
"(-12574.02218, 150958.16571)","(-12882.46849, 150884.95349)"
"(-14269.57668, 148533.53211)","(-14069.78638, 148330.28551)"
"(-14269.57668, 148533.53211)","(-14345.5093, 148722.57501)"
"(-12713.51408, 150173.77301)","(-12482.69789, 150476.59119)"
"(-12713.51408, 150173.77301)","(-12571.66956, 150052.70114)"
"(-12845.70708, 148850.55401)","(-12704.06565, 148795.67262)"
"(-12845.70708, 148850.55401)","(-12911.237, 149019.71742)"
"(-13398.16458, 149824.60111)","(-13301.84237, 149934.63369)"
"(-13398.16458, 149824.60111)","(-13561.87851, 149978.584)"
"(-12573.93998, 146944.30511)","(-12465.81377, 147031.14202)"
"(-12203.62278, 146868.49841)","(-12225.39426, 146864.2554)"
"(-12203.62278, 146868.49841)","(-12192.16702, 146876.89672)"
"(-12005.01458, 148333.32061)","(-12033.33143, 148289.34676)"
"(-12005.01458, 148333.32061)","(-12087.62932, 148492.70236)"
"(-12689.95068, 147506.21071)","(-12802.25184, 147648.57319)"
"(-12689.95068, 147506.21071)","(-13290.59419, 147587.12927)"
"(-12523.52258, 148105.74521)","(-12771.5825, 148051.46174)"
"(-14007.67333, 147513.84128)","(-14027.63358, 147523.27423)"
"(-12403.7768, 150994.82511)","(-12171.05377, 150701.3403)"
"(-12081.56955, 148030.69877)","(-12165.39827, 147921.14491)"
