158.43 * C_node6node60_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1117.0 * C_node6node60_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
940.48 * C_node6node60_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
666.73 * C_node6node60_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
472.66 * C_node6node60_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
335.07 * C_node6node60_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
237.54 * C_node6node60_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
3053.0 * C_node6node43_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2570.54 * C_node6node43_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1822.31 * C_node6node43_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1291.87 * C_node6node43_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
915.83 * C_node6node43_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
