"Source(x,y)","Target(x,y)"
"(-11903.73748, 146469.52171)","(-12020.85555, 146530.62782)"
"(-11903.73748, 146469.52171)","(-11535.17588, 146511.60567)"
"(-9682.96018, 145287.91201)","(-9273.47336, 145165.18738)"
"(-9682.96018, 145287.91201)","(-9408.62338, 145108.06648)"
"(-9682.96018, 145287.91201)","(-9548.31546, 145415.4506)"
"(-12266.05088, 145592.35111)","(-12204.43494, 145535.89745)"
"(-12266.05088, 145592.35111)","(-12132.32018, 145815.81351)"
"(-12266.05088, 145592.35111)","(-12067.13219, 145394.48957)"
"(-12266.05088, 145592.35111)","(-11418.6453, 145807.50002)"
"(-12266.05088, 145592.35111)","(-12388.25839, 145781.0902)"
"(-12085.69028, 146465.38451)","(-12175.26418, 146323.63221)"
"(-12085.69028, 146465.38451)","(-12128.28838, 146605.30541)"
"(-12085.69028, 146465.38451)","(-12030.85059, 146407.57458)"
"(-12085.69028, 146465.38451)","(-12020.85555, 146530.62782)"
"(-11657.61788, 144440.58811)","(-12377.49558, 143982.26871)"
"(-11657.61788, 144440.58811)","(-12126.48468, 144569.94141)"
"(-11657.61788, 144440.58811)","(-11880.59009, 144169.38769)"
"(-11657.61788, 144440.58811)","(-12124.7887, 144347.00114)"
"(-11657.61788, 144440.58811)","(-11527.59886, 144721.10856)"
"(-12175.26418, 146323.63221)","(-12176.52211, 146295.99382)"
"(-12175.26418, 146323.63221)","(-11848.46738, 146406.31591)"
"(-12175.26418, 146323.63221)","(-11993.23024, 146315.8348)"
"(-12175.26418, 146323.63221)","(-12030.85059, 146407.57458)"
"(-9978.05058, 145605.62441)","(-9939.95048, 145616.20771)"
"(-9978.05058, 145605.62441)","(-9989.59175, 145621.69655)"
"(-9978.05058, 145605.62441)","(-9548.31546, 145415.4506)"
"(-9978.05058, 145605.62441)","(-10279.87739, 145598.76698)"
"(-9584.22898, 144422.42351)","(-9721.09488, 144536.77931)"
"(-9584.22898, 144422.42351)","(-9461.89162, 144402.46279)"
"(-9584.22898, 144422.42351)","(-9999.62849, 144442.66667)"
"(-9584.22898, 144422.42351)","(-9463.35979, 144425.66771)"
"(-11646.16018, 147401.95171)","(-11647.46748, 147490.42951)"
"(-11646.16018, 147401.95171)","(-11666.33808, 147348.19052)"
"(-11646.16018, 147401.95171)","(-11832.54596, 147082.78683)"
"(-11646.16018, 147401.95171)","(-11897.64531, 147344.57458)"
"(-10681.31538, 146176.81681)","(-10627.12218, 146132.03631)"
"(-10681.31538, 146176.81681)","(-11034.00928, 146314.14501)"
"(-10681.31538, 146176.81681)","(-9988.06853, 146375.41721)"
"(-10681.31538, 146176.81681)","(-10328.465, 146251.40691)"
"(-10681.31538, 146176.81681)","(-10585.40251, 146441.79314)"
"(-10930.14798, 145204.05181)","(-10945.4788, 145215.66533)"
"(-10930.14798, 145204.05181)","(-10599.75727, 145307.75594)"
"(-10930.14798, 145204.05181)","(-11175.37279, 145212.95609)"
"(-10930.14798, 145204.05181)","(-10899.29296, 145033.64337)"
"(-10930.14798, 145204.05181)","(-10886.6139, 145312.75793)"
"(-11647.46748, 147490.42951)","(-11514.13248, 147464.64091)"
"(-11647.46748, 147490.42951)","(-11631.18218, 147630.20151)"
"(-11647.46748, 147490.42951)","(-11832.54596, 147082.78683)"
"(-11647.46748, 147490.42951)","(-11897.64531, 147344.57458)"
"(-11647.46748, 147490.42951)","(-11364.13313, 147519.988)"
"(-11024.58038, 144201.20341)","(-11652.93558, 144066.29101)"
"(-11024.58038, 144201.20341)","(-10996.05097, 144429.79117)"
"(-11024.58038, 144201.20341)","(-11262.38902, 144249.96448)"
"(-11024.58038, 144201.20341)","(-10854.57383, 144325.46078)"
"(-11070.94408, 146283.05721)","(-11147.67338, 146279.08841)"
"(-11070.94408, 146283.05721)","(-11535.17588, 146511.60567)"
"(-10099.59488, 145303.55751)","(-9981.22558, 145423.59061)"
"(-10099.59488, 145303.55751)","(-10240.41981, 145208.32364)"
"(-10099.59488, 145303.55751)","(-10508.17068, 145469.67671)"
"(-10099.59488, 145303.55751)","(-10171.96168, 145155.81475)"
"(-10099.59488, 145303.55751)","(-10433.51815, 145216.22844)"
"(-11715.25928, 145005.74931)","(-11745.20313, 144967.58487)"
"(-11715.25928, 145005.74931)","(-11660.15818, 145199.22361)"
"(-11715.25928, 145005.74931)","(-11527.59886, 144721.10856)"
"(-11715.25928, 145005.74931)","(-11935.33564, 145084.54367)"
