"Source(x,y)","Target(x,y)"
"(-10508.17068, 145469.67671)","(-10099.59488, 145303.55751)"
"(-10508.17068, 145469.67671)","(-10875.67833, 145439.00808)"
"(-10508.17068, 145469.67671)","(-10433.51815, 145216.22844)"
"(-10421.15038, 145524.38761)","(-10508.17068, 145469.67671)"
"(-10421.15038, 145524.38761)","(-10540.80828, 145570.98241)"
"(-10421.15038, 145524.38761)","(-10006.62558, 145444.75741)"
"(-10421.15038, 145524.38761)","(-10875.67833, 145439.00808)"
"(-12175.26418, 146323.63221)","(-12085.69028, 146465.38451)"
"(-12175.26418, 146323.63221)","(-11848.46738, 146406.31591)"
"(-12175.26418, 146323.63221)","(-11781.45528, 146357.98461)"
"(-12175.26418, 146323.63221)","(-11993.23024, 146315.8348)"
"(-12175.26418, 146323.63221)","(-12030.85059, 146407.57459)"
"(-12126.35638, 145955.36771)","(-12132.32018, 145815.81351)"
"(-12126.35638, 145955.36771)","(-11345.52318, 145931.44721)"
"(-12126.35638, 145955.36771)","(-11766.11108, 146178.79121)"
"(-12126.35638, 145955.36771)","(-11689.91373, 146061.82348)"
"(-12132.32018, 145815.81351)","(-12126.35638, 145955.36771)"
"(-12132.32018, 145815.81351)","(-12204.43494, 145535.89745)"
"(-12132.32018, 145815.81351)","(-12188.21992, 146109.72315)"
"(-11345.52318, 145931.44721)","(-12126.35638, 145955.36771)"
"(-11345.52318, 145931.44721)","(-11498.47148, 146267.03401)"
"(-11345.52318, 145931.44721)","(-10612.28278, 145868.52701)"
"(-11345.52318, 145931.44721)","(-11689.91373, 146061.82348)"
"(-11766.11108, 146178.79121)","(-12126.35638, 145955.36771)"
"(-11766.11108, 146178.79121)","(-11662.28898, 146337.29681)"
"(-11766.11108, 146178.79121)","(-12150.32018, 146106.93491)"
"(-11766.11108, 146178.79121)","(-11689.91373, 146061.82348)"
"(-11689.91373, 146061.82348)","(-12126.35638, 145955.36771)"
"(-11689.91373, 146061.82348)","(-11662.28898, 146337.29681)"
"(-11689.91373, 146061.82348)","(-11766.11108, 146178.79121)"
"(-11689.91373, 146061.82348)","(-11498.47148, 146267.03401)"
"(-11689.91373, 146061.82348)","(-11345.52318, 145931.44721)"
"(-9861.69428, 145345.43311)","(-10013.21378, 145209.41001)"
"(-9861.69428, 145345.43311)","(-9981.22558, 145423.59061)"
"(-9861.69428, 145345.43311)","(-9273.47336, 145165.18738)"
"(-9861.69428, 145345.43311)","(-10171.96168, 145155.81475)"
"(-10931.42588, 144772.14521)","(-10474.81838, 144921.17101)"
"(-10931.42588, 144772.14521)","(-10989.83068, 144664.08681)"
"(-10931.42588, 144772.14521)","(-10643.00188, 145112.35371)"
"(-10931.42588, 144772.14521)","(-10899.29296, 145033.64337)"
"(-10931.42588, 144772.14521)","(-10706.98024, 144921.79794)"
"(-10931.42588, 144772.14521)","(-10691.85715, 144728.22114)"
"(-10643.00188, 145112.35371)","(-10474.81838, 144921.17101)"
"(-10643.00188, 145112.35371)","(-10931.42588, 144772.14521)"
"(-10643.00188, 145112.35371)","(-10572.27948, 145306.64461)"
"(-10643.00188, 145112.35371)","(-10899.29296, 145033.64337)"
"(-10643.00188, 145112.35371)","(-10706.98024, 144921.79794)"
"(-10643.00188, 145112.35371)","(-10433.51815, 145216.22844)"
"(-10706.98024, 144921.79794)","(-10474.81838, 144921.17101)"
"(-10706.98024, 144921.79794)","(-10931.42588, 144772.14521)"
"(-10706.98024, 144921.79794)","(-10643.00188, 145112.35371)"
"(-10989.83068, 144664.08681)","(-10931.42588, 144772.14521)"
"(-10989.83068, 144664.08681)","(-11076.49878, 144696.99751)"
"(-10989.83068, 144664.08681)","(-10820.93418, 144562.38671)"
"(-10989.83068, 144664.08681)","(-10899.29296, 145033.64337)"
"(-10989.83068, 144664.08681)","(-10691.85715, 144728.22114)"
"(-10899.29296, 145033.64337)","(-10931.42588, 144772.14521)"
"(-10899.29296, 145033.64337)","(-10930.14798, 145204.05181)"
"(-10899.29296, 145033.64337)","(-10643.00188, 145112.35371)"
"(-10899.29296, 145033.64337)","(-10989.83068, 144664.08681)"
"(-10899.29296, 145033.64337)","(-10572.27948, 145306.64461)"
"(-10899.29296, 145033.64337)","(-11076.49878, 144696.99751)"
"(-10899.29296, 145033.64337)","(-10973.55168, 145177.73511)"
"(-10899.29296, 145033.64337)","(-11360.44038, 144863.96811)"
"(-10463.28508, 146061.25081)","(-10600.05419, 146118.42648)"
"(-10463.28508, 146061.25081)","(-10409.86108, 146061.03541)"
"(-10463.28508, 146061.25081)","(-10612.28278, 145868.52701)"
"(-10463.28508, 146061.25081)","(-10508.41568, 145963.38485)"
"(-10339.73058, 144215.51711)","(-10471.31358, 144456.25121)"
"(-10339.73058, 144215.51711)","(-10591.73298, 144296.31881)"
"(-10339.73058, 144215.51711)","(-10058.69998, 144302.12911)"
"(-10339.73058, 144215.51711)","(-10383.51255, 144329.66069)"
"(-10471.31358, 144456.25121)","(-10339.73058, 144215.51711)"
"(-10471.31358, 144456.25121)","(-10422.05028, 144587.15941)"
"(-10471.31358, 144456.25121)","(-10591.73298, 144296.31881)"
"(-10471.31358, 144456.25121)","(-10383.51255, 144329.66069)"
"(-10471.31358, 144456.25121)","(-10689.80193, 144458.96875)"
"(-10591.73298, 144296.31881)","(-10339.73058, 144215.51711)"
"(-10591.73298, 144296.31881)","(-10471.31358, 144456.25121)"
"(-10591.73298, 144296.31881)","(-11000.49588, 144453.43731)"
"(-10591.73298, 144296.31881)","(-11024.58038, 144201.20341)"
"(-10591.73298, 144296.31881)","(-10383.51255, 144329.66069)"
"(-10591.73298, 144296.31881)","(-10689.80193, 144458.96875)"
"(-10591.73298, 144296.31881)","(-10854.57383, 144325.46078)"
"(-10058.69998, 144302.12911)","(-10339.73058, 144215.51711)"
"(-10058.69998, 144302.12911)","(-9651.78088, 144199.77851)"
"(-10058.69998, 144302.12911)","(-9500.51238, 144325.26181)"
"(-10058.69998, 144302.12911)","(-9766.36384, 144289.1142)"
"(-10383.51255, 144329.66069)","(-10339.73058, 144215.51711)"
"(-10383.51255, 144329.66069)","(-10471.31358, 144456.25121)"
"(-10383.51255, 144329.66069)","(-10591.73298, 144296.31881)"
"(-11781.45528, 146357.98461)","(-12175.26418, 146323.63221)"
"(-11781.45528, 146357.98461)","(-11662.28898, 146337.29681)"
"(-11781.45528, 146357.98461)","(-11848.46738, 146406.31591)"
"(-11781.45528, 146357.98461)","(-11535.17589, 146511.60567)"
"(-11781.45528, 146357.98461)","(-11993.23024, 146315.8348)"
"(-11993.23024, 146315.8348)","(-12175.26418, 146323.63221)"
"(-11993.23024, 146315.8348)","(-11781.45528, 146357.98461)"
"(-11993.23024, 146315.8348)","(-11848.46738, 146406.31591)"
"(-9397.61418, 144516.32871)","(-9305.40998, 144657.12641)"
"(-9397.61418, 144516.32871)","(-9651.78088, 144199.77851)"
"(-9305.40998, 144657.12641)","(-9397.61418, 144516.32871)"
"(-9305.40998, 144657.12641)","(-9674.56938, 144595.59931)"
"(-9305.40998, 144657.12641)","(-9317.16199, 144671.37362)"
"(-9651.78088, 144199.77851)","(-9397.61418, 144516.32871)"
"(-9651.78088, 144199.77851)","(-9500.51238, 144325.26181)"
"(-9651.78088, 144199.77851)","(-10058.69998, 144302.12911)"
"(-9651.78088, 144199.77851)","(-9766.36384, 144289.1142)"
"(-11662.28898, 146337.29681)","(-11781.45528, 146357.98461)"
"(-11662.28898, 146337.29681)","(-11766.11108, 146178.79121)"
"(-11662.28898, 146337.29681)","(-11498.47148, 146267.03401)"
"(-11662.28898, 146337.29681)","(-11689.91373, 146061.82348)"
"(-11662.28898, 146337.29681)","(-11535.17589, 146511.60567)"
"(-11498.47148, 146267.03401)","(-11662.28898, 146337.29681)"
"(-11498.47148, 146267.03401)","(-11193.97548, 146304.22381)"
"(-11498.47148, 146267.03401)","(-11345.52318, 145931.44721)"
"(-11498.47148, 146267.03401)","(-11689.91373, 146061.82348)"
"(-11498.47148, 146267.03401)","(-11535.17589, 146511.60567)"
"(-9978.05058, 145605.62441)","(-10001.33388, 145572.81591)"
"(-9978.05058, 145605.62441)","(-9989.59174, 145621.69654)"
"(-9978.05058, 145605.62441)","(-9273.47336, 145165.18738)"
"(-10001.33388, 145572.81591)","(-9978.05058, 145605.62441)"
"(-10001.33388, 145572.81591)","(-10006.62558, 145444.75741)"
"(-9989.59174, 145621.69654)","(-9978.05058, 145605.62441)"
"(-9989.59174, 145621.69654)","(-10392.90648, 145719.00931)"
"(-9273.47336, 145165.18738)","(-9978.05058, 145605.62441)"
"(-9273.47336, 145165.18738)","(-9861.69428, 145345.43311)"
"(-12245.41252, 146523.94896)","(-12181.79218, 146626.33611)"
