Node,Stand
"(-10339.73058, 144215.51711)","[1148, 1212]"
"(-10306.59628, 144258.13531)","[1148, 1212]"
"(-10236.80258, 144286.91941)","[1148, 1212]"
"(-10190.43488, 144345.09661)","[1148, 1212]"
"(-10150.13318, 144383.57551)","[1148, 1212]"
"(-10154.14968, 144433.01491)","[1148, 1212]"
"(-10200.16948, 144438.89811)","[1148, 1212]"
"(-10258.32348, 144414.81941)","[1148, 1212]"
"(-10293.13978, 144363.56851)","[1148, 1212]"
"(-10327.68978, 144391.70131)","[1148, 1212]"
"(-10375.23228, 144412.96201)","[1148, 1212]"
"(-10432.30838, 144437.29381)","[1148, 1212]"
"(-10471.31358, 144456.25121)","[1148, 873, 1212]"
"(-10415.64878, 144540.42851)","[873, 1212]"
"(-10422.05028, 144587.15941)","[872, 873, 1212]"
"(-10361.23658, 144599.84971)","[872, 1212]"
"(-10294.59148, 144601.68321)","[872, 1212, 1213]"
"(-10228.98078, 144592.96631)","[1212, 1213]"
"(-10139.66758, 144598.48871)","[1212, 1213]"
"(-10063.08068, 144587.07841)","[1212, 1213]"
"(-9994.01888, 144570.71281)","[1212, 1213]"
"(-9938.62358, 144565.12081)","[1212, 1213]"
"(-9890.83778, 144549.14291)","[1212, 1213]"
"(-9835.00468, 144547.13601)","[1212, 1213]"
"(-9786.09758, 144521.98731)","[1212, 1213]"
"(-9427.82687, 144409.26834)",[1212]
"(-9386.8612, 144390.59263)",[1212]
"(-11215.14228, 146092.55671)",[1515]
"(-11262.76738, 145969.52531)",[1515]
"(-11313.27938, 145995.44651)",[1515]
"(-11301.46268, 146021.82471)",[1515]
"(-11281.89348, 146071.77761)",[1515]
"(-11260.89158, 146124.68481)",[1515]
"(-11260.88708, 146124.69611)",[1515]
"(-11244.65488, 146165.03471)",[1515]
"(-11217.22128, 146226.57461)",[1515]
"(-11804.78508, 146335.65201)",[1518]
"(-11970.81138, 146278.76641)",[1518]
"(-12051.50948, 146243.04771)",[1518]
"(-12113.68668, 146236.43301)",[1518]
"(-12179.60988, 146252.80981)",[1518]
"(-12178.11328, 146261.03391)",[1518]
"(-12175.26418, 146323.63221)","[1520, 1518]"
"(-12105.48458, 146322.92551)","[1520, 1518]"
"(-12008.11778, 146353.61731)","[1520, 1518]"
"(-11881.11748, 146391.71741)","[1520, 1518]"
"(-11861.00908, 146401.24231)","[1520, 1518]"
"(-11924.50928, 146467.91741)","[1520, 1519]"
"(-11974.25098, 146478.50081)","[1520, 1519]"
"(-12027.16778, 146482.73411)","[1520, 1519]"
"(-12082.20118, 146479.55911)","[1520, 1519]"
"(-12085.69028, 146465.38451)","[1520, 1519]"
"(-12108.56068, 146489.63031)",[1519]
"(-12086.91678, 146501.91151)",[1519]
"(-12103.53028, 146545.45971)",[1519]
"(-12129.25018, 146572.82001)",[1519]
"(-12157.23108, 146372.12191)",[1520]
"(-12159.33298, 146418.91601)",[1520]
"(-12142.52638, 146456.27581)",[1520]
"(-12112.89298, 146448.86741)",[1520]
"(-10409.86108, 146061.03541)","[1264, 1521, 1522]"
"(-10436.70128, 146010.97011)","[1521, 1522]"
"(-10463.28508, 146061.25081)","[1264, 1521]"
"(-10366.09948, 146045.01991)","[1264, 1522, 1523]"
"(-10472.42008, 145910.42831)","[1522, 1523]"
"(-10930.14798, 145204.05181)","[1146, 868, 1494]"
"(-10973.55168, 145177.73511)","[1146, 867, 868]"
"(-11043.39348, 145173.95501)","[1146, 867]"
"(-11100.69468, 145169.86461)","[1146, 867]"
"(-11143.65268, 145133.91241)","[1146, 867]"
"(-11185.70218, 145113.88891)","[1146, 867]"
"(-11255.11978, 145125.85501)","[1146, 867]"
"(-11306.76598, 145160.23671)","[1146, 867]"
"(-11344.91508, 145185.92821)","[1146, 867]"
"(-11368.06588, 145227.72601)","[1146, 867]"
"(-11365.56238, 145237.92731)","[1146, 867]"
"(-11316.50428, 145274.02721)","[1146, 867]"
"(-11263.41818, 145296.24331)","[1146, 867]"
"(-11214.88648, 145304.51751)","[1146, 867, 1494]"
"(-11161.93698, 145284.38121)","[1146, 1494]"
"(-11105.03988, 145276.72381)","[1146, 1494]"
"(-11057.08248, 145261.83211)","[1146, 1494]"
"(-10979.51488, 145241.44861)","[1146, 1494]"
"(-10405.44748, 144194.11381)",[1148]
"(-10455.62798, 144220.81191)",[1148]
"(-10533.90848, 144250.88231)",[1148]
"(-10591.73298, 144296.31881)","[873, 874, 1148]"
"(-10561.51648, 144349.71811)","[873, 1148]"
"(-10523.37498, 144404.14781)","[873, 1148]"
"(-11000.49588, 144453.43731)","[873, 874, 1149]"
"(-10990.81678, 144401.94621)","[874, 1149]"
"(-11007.21548, 144339.42411)","[874, 1149]"
"(-10998.87008, 144283.50551)","[874, 1149]"
"(-11024.58038, 144201.20341)","[874, 1149]"
"(-11075.59348, 144190.18001)",[1149]
"(-11274.13688, 144152.73261)",[1149]
"(-11394.83908, 144132.87221)",[1149]
"(-11476.89498, 144107.20841)",[1149]
"(-11537.05298, 144092.18141)",[1149]
"(-11652.93558, 144066.29101)",[1149]
"(-11653.11178, 144129.00561)",[1149]
