Node,Stand
"(-14773.53776, 149765.15753)",[1008]
"(-15031.25798, 149515.63941)","[1236, 1340]"
"(-15027.30148, 149520.23411)","[1236, 1340]"
"(-15021.97668, 149526.41771)","[1236, 1340]"
"(-15016.93718, 149532.27011)","[1236, 1340]"
"(-15014.50708, 149535.09201)","[1236, 1340]"
"(-15018.41048, 149537.28371)","[1236, 1340]"
"(-15025.81858, 149541.44301)","[1236, 1340]"
"(-15036.61778, 149547.50641)","[1236, 1340]"
"(-15039.52178, 149549.13681)","[1236, 1340]"
"(-15039.53568, 149549.14471)","[1236, 1340]"
"(-15041.88538, 149547.84441)","[1236, 1340]"
"(-15044.95428, 149546.14601)","[1236, 1340]"
"(-15048.10258, 149544.40381)","[1236, 1340]"
"(-15050.52708, 149543.06211)","[1236, 1340]"
"(-15052.15098, 149542.16341)","[1236, 1340]"
"(-15055.32088, 149540.40941)","[1236, 1340]"
"(-15058.68648, 149538.54681)","[1236, 1340]"
"(-15061.12248, 149537.19871)","[1236, 1340]"
"(-15061.94748, 149536.74221)","[1236, 1340]"
"(-15062.14188, 149536.63471)","[1236, 1340]"
"(-15062.51158, 149537.32461)","[1236, 1340]"
"(-15069.97248, 149551.25081)","[1236, 1340]"
"(-15064.82488, 149558.71481)","[1236, 1340]"
"(-15060.18448, 149565.44331)","[1236, 1340]"
"(-15055.68128, 149571.97301)","[1236, 1340]"
"(-15050.96878, 149578.80611)","[1236, 1340]"
"(-15045.81758, 149586.27531)","[1236, 1340]"
"(-15043.51408, 149589.61541)","[1236, 1340]"
"(-15040.99768, 149593.72121)","[1236, 1340]"
"(-15036.62658, 149600.85291)","[1236, 1340]"
"(-15036.29298, 149601.39711)","[1236, 1340]"
"(-15033.25258, 149606.35791)","[1236, 1340]"
"(-15028.96878, 149613.34721)","[1236, 1340]"
"(-15023.03788, 149623.02391)","[1236, 1340]"
"(-15018.37858, 149630.62591)","[1236, 1340]"
"(-15019.45588, 149631.82991)","[1236, 1340]"
"(-15027.13508, 149640.41251)","[1236, 1340]"
"(-15039.43628, 149654.16091)","[1236, 1340]"
"(-15040.86818, 149655.76141)","[1236, 1340]"
"(-15049.80138, 149664.42381)","[1236, 1340]"
"(-15075.18808, 149689.04121)","[1236, 1340]"
"(-15075.66738, 149689.50601)","[1236, 1340]"
"(-15084.52458, 149698.09481)","[1236, 1340]"
"(-15081.05248, 149700.92391)","[1236, 1340]"
"(-15078.29448, 149703.17121)","[1236, 1340]"
"(-15072.08578, 149708.23011)","[1236, 1340]"
"(-15071.84338, 149708.42771)","[1236, 1340]"
"(-15064.62538, 149714.30901)","[1236, 1340]"
"(-15058.36138, 149719.41301)","[1236, 1340]"
"(-15055.86838, 149721.44431)","[1236, 1340]"
"(-15050.65908, 149725.68891)","[1236, 1340]"
"(-15048.94138, 149727.08851)","[1236, 1340]"
"(-15048.83278, 149727.21631)","[1236, 1340]"
"(-15039.92658, 149744.54551)",[1340]
"(-14999.70988, 149758.83301)",[1340]
"(-14980.13068, 149743.48711)",[1340]
"(-15024.57966, 149540.74741)",[1340]
"(-15048.30406, 149728.24506)",[1340]
"(-15209.04648, 150150.04191)",[1236]
"(-15209.01768, 150150.03791)",[1236]
"(-15199.26408, 150147.96461)",[1236]
"(-15184.26338, 150144.77931)",[1236]
"(-15168.87938, 150141.51261)",[1236]
"(-15164.42968, 150140.56781)",[1236]
"(-15155.98518, 150141.54071)",[1236]
"(-15141.09178, 150143.25671)",[1236]
"(-15127.62568, 150144.80821)",[1236]
"(-15112.28718, 150146.57551)",[1236]
"(-15110.65178, 150146.76391)",[1236]
