Node,Stand
"(-16400.17938, 153191.78821)",[1172]
"(-16422.01258, 153238.82891)",[1172]
"(-16419.40388, 153255.50351)",[1172]
"(-16419.60708, 153255.47821)",[1172]
"(-16419.54948, 153255.84601)",[1172]
"(-16457.64958, 153251.08361)",[1172]
"(-16490.37628, 153204.78871)",[1172]
"(-16544.74688, 153203.27291)",[1172]
"(-16587.82478, 153187.90091)",[1172]
"(-16622.74988, 153187.90091)",[1172]
"(-16647.96968, 153208.39201)",[1172]
"(-16643.24178, 153235.18351)",[1172]
"(-16605.14168, 153252.64611)",[1172]
"(-16568.62908, 153282.80871)",[1172]
"(-16568.62918, 153347.89631)",[1172]
"(-16551.16658, 153379.64631)",[1172]
"(-16551.32558, 153379.96441)",[1172]
"(-16551.31228, 153379.98871)",[1172]
"(-16564.01228, 153405.38881)",[1172]
"(-16590.99988, 153435.55141)",[1172]
"(-16646.53618, 153495.90181)",[1172]
"(-16679.89998, 153513.33901)",[1172]
"(-16727.52508, 153538.73901)",[1172]
"(-16781.16458, 153574.98201)",[1172]
"(-16781.08488, 153577.94921)",[1172]
"(-16781.23698, 153578.05471)",[1172]
"(-16781.23058, 153578.29161)",[1172]
"(-16818.01278, 153603.82671)",[1172]
"(-16890.89228, 153635.51341)",[1172]
"(-16890.89228, 153655.87181)",[1172]
"(-16870.25468, 153692.38451)",[1172]
"(-16828.97968, 153744.77201)",[1172]
"(-16768.65458, 153778.10961)",[1172]
"(-16727.37938, 153792.39711)",[1172]
"(-15897.00938, 152935.73682)",[1172]
"(-15840.58755, 153068.15761)",[1172]
"(-15629.10668, 153023.06803)",[1172]
"(-16144.48283, 153033.32127)",[1172]
"(-16620.90359, 153187.90091)",[1172]
"(-16712.82039, 153764.94417)",[1172]
"(-15612.92631, 153045.89531)",[1172]
"(-15902.87762, 153080.09435)",[1172]
"(-16626.81713, 153474.47344)",[1172]
"(-15955.22813, 153027.70598)",[1172]
"(-16795.03704, 153587.87639)",[1172]
