"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-17412.91948, 152414.78841)","(-17218.19248, 152317.71578)",0.0,False,True,0,0,0,0,0,False,
"(-17412.91948, 152414.78841)","(-17318.76859, 152467.39973)",0.0,False,True,0,0,0,0,0,False,
"(-17412.91948, 152414.78841)","(-17046.67685, 152566.31793)",0.0,False,True,0,0,0,0,0,False,
"(-15409.51008, 152244.57003)","(-15585.5948, 152594.62126)",0.0,True,True,0,0,0,0,0,False,
"(-16790.56244, 151758.26289)","(-16852.23272, 151877.41965)",0.0,True,True,0,0,0,0,0,False,
"(-17019.68194, 152006.34884)","(-16852.23272, 151877.41965)",0.0,True,True,0,0,0,0,0,False,
"(-17019.68194, 152006.34884)","(-16806.09839, 152028.12952)",0.0,True,True,0,0,0,0,0,False,
"(-16633.48113, 151880.35089)","(-16852.23272, 151877.41965)",0.0,True,True,0,0,0,0,0,False,
"(-16633.48113, 151880.35089)","(-16806.09839, 152028.12952)",0.0,True,True,0,0,0,0,0,False,
"(-16358.79092, 151923.82668)","(-16358.79857, 151920.39891)",0.0034277785365253682,True,False,26,9,39,9,19,27.5275,
"(-16358.79092, 151923.82668)","(-16806.09839, 152028.12952)",0.0,True,True,0,0,0,0,0,False,
"(-16358.79092, 151923.82668)","(-16335.19862, 152327.4503)",0.0,True,True,0,0,0,0,0,False,
"(-16358.79857, 151920.39891)","(-16806.09839, 152028.12952)",0.0,True,True,0,0,0,0,0,False,
"(-16358.79857, 151920.39891)","(-16335.19862, 152327.4503)",0.0,True,True,0,0,0,0,0,False,
"(-16761.84323, 152452.60718)","(-17218.19248, 152317.71578)",0.0,True,True,0,0,0,0,0,False,
"(-17124.67922, 152350.38854)","(-17218.19248, 152317.71578)",0.0,True,True,0,0,0,0,0,False,
"(-17124.67922, 152350.38854)","(-17046.67685, 152566.31793)",0.0,True,True,0,0,0,0,0,False,
"(-16309.70131, 152580.36063)","(-16335.19862, 152327.4503)",0.0,True,True,0,0,0,0,0,False,
"(-16309.70131, 152580.36063)","(-16575.29986, 152696.02145)",0.0,True,True,0,0,0,0,0,False,
"(-16415.44108, 152572.55802)","(-16335.19862, 152327.4503)",0.0,True,True,0,0,0,0,0,False,
"(-16096.70541, 152682.36683)","(-16575.29986, 152696.02145)",0.0,True,True,0,0,0,0,0,False,
"(-16096.70541, 152682.36683)","(-16045.07031, 152794.84578)",0.0,True,True,0,0,0,0,0,False,
"(-16120.49752, 152876.47555)","(-16045.07031, 152794.84578)",0.0,True,True,0,0,0,0,0,False,
"(-15897.00938, 152935.73682)","(-15955.22813, 153027.70598)",0.10907865069268803,True,False,527,205,791,205,395,False,"[(-15924.91718, 152973.25471)]"
"(-15897.00938, 152935.73682)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-15840.58755, 153068.15761)","(-15629.10668, 153023.06803)",0.245719663109175,True,False,1186,462,1781,462,891,False,"[(-15636.45578, 153012.69991), (-15744.82708, 153004.43391)]"
"(-15840.58755, 153068.15761)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-15629.10668, 153023.06803)","(-15612.92631, 153045.89531)",0.027980155209276384,True,False,135,53,203,53,101,24.7646,
"(-15629.10668, 153023.06803)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-16144.48283, 153033.32127)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-15612.92631, 153045.89531)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-16626.81713, 153474.47344)","(-16795.03704, 153587.87639)",0.20567521095567562,True,False,994,387,1491,387,747,False,"[(-16781.23058, 153578.29161), (-16781.08488, 153577.94921)]"
"(-16626.81713, 153474.47344)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-15955.22813, 153027.70598)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
"(-16795.03704, 153587.87639)","(-16221.23741, 153236.87723)",0.0,True,True,0,0,0,0,0,False,
