ID_UG;nodes
912;(-20054.22148, 150799.30591),(-20237.09958, 150823.13241),(-20052.51488, 150708.39651),(-20492.80128, 150623.71771),(-20094.66538, 150492.12191),(-20217.89813, 150643.2137)
1584;(-19406.05108, 152300.01541),(-19401.32958, 152309.93801),(-19412.42308, 152512.34431),(-19390.26228, 152439.97061),(-19389.22731, 152404.32656)
987;(-19825.85628, 148397.09771),(-19514.85548, 148636.74381),(-19577.65728, 148694.21851),(-19515.20578, 148650.97871),(-20147.71748, 148589.73481),(-19825.36991, 148548.32859)
1163;(-19825.85628, 148397.09771),(-19513.74168, 148261.76781),(-19514.85548, 148636.74381),(-19290.44748, 148761.00281),(-19262.47558, 148636.45441),(-19846.19438, 148231.62611),(-19552.1067, 148432.02912)
989;(-19825.85628, 148397.09771),(-20387.43948, 148449.78211),(-19846.19438, 148231.62611),(-20147.71748, 148589.73481)
1320;(-17830.14328, 149503.83451),(-17875.51866, 149437.86514),(-18439.03018, 149599.42891),(-18113.14101, 149583.06404)
1174;(-17830.14328, 149503.83451),(-17875.51866, 149437.86514),(-16905.97098, 149096.54611),(-17923.89768, 149375.71351),(-17808.12547, 149501.51701),(-16139.07027, 149017.76038)
1324;(-20092.07628, 149500.54201),(-19813.21978, 149952.63661),(-19997.02398, 149489.17921),(-19521.56468, 149716.26611)
1222;(-20092.07628, 149500.54201),(-19877.51458, 149285.58221),(-19997.02398, 149489.17921),(-19521.56468, 149716.26611),(-19512.97418, 149576.19011),(-20053.67008, 149291.77761),(-19901.75438, 149308.30131)
997;(-19513.74168, 148261.76781),(-19262.47558, 148636.45441),(-19157.70928, 148287.46081),(-19208.91521, 148455.63729)
1157;(-21080.51908, 150748.71441),(-20599.64088, 150750.69281),(-21074.78908, 151324.87421),(-21174.95198, 151388.46081),(-20815.01898, 150668.19941),(-21099.67728, 150751.89261),(-20523.49958, 150613.49701),(-20859.37292, 150562.39068)
1225;(-19877.51458, 149285.58221),(-19316.37238, 149204.48681),(-19512.97418, 149576.19011),(-19901.75438, 149308.30131)
1582;(-19607.22108, 152387.05381),(-19405.57848, 152458.51131),(-19621.29166, 152384.12801),(-19505.73007, 152463.49644)
1330;(-19514.85548, 148636.74381),(-19290.44748, 148761.00281),(-19515.20578, 148650.97871),(-19328.67188, 148799.36141),(-19410.53731, 148675.25083)
1331;(-19577.65728, 148694.21851),(-19515.20578, 148650.97871),(-19328.67188, 148799.36141),(-19390.29028, 148885.89851),(-19464.3927, 148757.11694)
1166;(-16905.97098, 149096.54611),(-17869.39548, 148970.59911),(-17055.98538, 149095.53231),(-17694.81718, 148980.69431),(-17923.89768, 149375.71351),(-17922.61058, 149004.02591),(-18063.82948, 149016.35991),(-18066.12888, 149385.62261),(-18149.18868, 149127.79851),(-17688.76123, 149001.17041),(-17213.21713, 149255.90539)
1583;(-19405.57848, 152458.51131),(-19861.54328, 152278.88761),(-19412.42308, 152512.34431),(-19390.26228, 152439.97061),(-19621.29166, 152384.12801),(-19614.49896, 152390.42898)
