"Source(x,y)","Target(x,y)"
"(-19351.03965, 149144.68211)","(-19306.14368, 148894.78911)"
"(-20971.51108, 152287.29341)","(-20894.65738, 152294.33101)"
"(-20855.40696, 152286.94596)","(-20894.65738, 152294.33101)"
"(-20885.70972, 152304.62818)","(-20894.65738, 152294.33101)"
"(-20680.81871, 152160.5311)","(-20894.65738, 152294.33101)"
"(-21174.74529, 152554.57589)","(-20894.65738, 152294.33101)"
"(-17530.15968, 148767.42721)","(-17537.65828, 148721.27571)"
"(-17635.61418, 148642.37191)","(-17537.65828, 148721.27571)"
"(-17455.31173, 148551.45585)","(-17537.65828, 148721.27571)"
"(-17190.66883, 148753.59199)","(-17537.65828, 148721.27571)"
"(-17708.49115, 148827.41952)","(-17537.65828, 148721.27571)"
"(-19468.26748, 149588.56111)","(-19513.38068, 149765.45801)"
"(-19615.11488, 150256.98631)","(-19513.38068, 149765.45801)"
"(-19351.03965, 149144.68211)","(-19513.38068, 149765.45801)"
"(-19390.48704, 149952.28085)","(-19513.38068, 149765.45801)"
"(-18449.22798, 148977.22521)","(-18304.29958, 148942.83651)"
"(-18063.82948, 149016.35991)","(-18304.29958, 148942.83651)"
"(-18467.63448, 148529.93011)","(-18304.29958, 148942.83651)"
"(-18664.94384, 148603.76107)","(-18304.29958, 148942.83651)"
"(-18252.27956, 148775.25179)","(-18304.29958, 148942.83651)"
"(-18256.14704, 149035.06612)","(-18304.29958, 148942.83651)"
"(-17563.75978, 148867.39821)","(-17530.15968, 148767.42721)"
"(-17147.96648, 148819.08981)","(-17530.15968, 148767.42721)"
"(-17190.66883, 148753.59199)","(-17530.15968, 148767.42721)"
"(-17708.49115, 148827.41952)","(-17530.15968, 148767.42721)"
"(-17199.22307, 148257.80144)","(-17167.74978, 148253.94451)"
"(-17110.65798, 148246.77701)","(-17167.74978, 148253.94451)"
"(-16995.78338, 148571.30871)","(-17167.74978, 148253.94451)"
"(-17565.15922, 148147.77305)","(-17167.74978, 148253.94451)"
"(-17203.57361, 148387.80976)","(-17167.74978, 148253.94451)"
"(-16596.82159, 148350.90722)","(-17167.74978, 148253.94451)"
"(-19365.44542, 150724.09402)","(-19376.89108, 150760.39251)"
"(-19415.18203, 150753.26966)","(-19376.89108, 150760.39251)"
"(-19230.43039, 150897.91981)","(-19376.89108, 150760.39251)"
"(-19358.32398, 150560.35243)","(-19376.89108, 150760.39251)"
"(-19001.43311, 150620.92439)","(-19376.89108, 150760.39251)"
"(-19702.67059, 150878.74403)","(-19376.89108, 150760.39251)"
"(-16268.40903, 149459.63785)","(-16308.30998, 149482.77481)"
"(-16331.59883, 149514.2108)","(-16308.30998, 149482.77481)"
"(-16315.87153, 149475.02299)","(-16308.30998, 149482.77481)"
