1103.31 * C_node4node92_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
782.16 * C_node4node92_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node193_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node193_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node193_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node193_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node193_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node193_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node193_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node193_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node193_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node193_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node193_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node193_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node195_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node195_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node195_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node195_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node195_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node195_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node195_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node195_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node195_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node195_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node195_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node195_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node4node196_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node4node196_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node4node196_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node4node196_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node4node196_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node4node196_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node4node196_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node4node196_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node4node196_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node4node196_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node4node196_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node4node196_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
717.0 * C_node5node83_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
603.69 * C_node5node83_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
427.97 * C_node5node83_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
303.4 * C_node5node83_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
215.08 * C_node5node83_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
152.48 * C_node5node83_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1076.0 * C_node5node83_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
905.96 * C_node5node83_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
642.25 * C_node5node83_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
455.31 * C_node5node83_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
322.78 * C_node5node83_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
228.82 * C_node5node83_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2029.0 * C_node5node89_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1708.36 * C_node5node89_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1211.09 * C_node5node89_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
858.57 * C_node5node89_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
608.65 * C_node5node89_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
431.49 * C_node5node89_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
3044.0 * C_node5node89_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2562.97 * C_node5node89_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1816.94 * C_node5node89_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1288.06 * C_node5node89_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
913.13 * C_node5node89_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
647.33 * C_node5node89_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1419.0 * C_node5node110_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1194.76 * C_node5node110_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
846.99 * C_node5node110_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
600.45 * C_node5node110_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
425.67 * C_node5node110_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
301.76 * C_node5node110_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2132.0 * C_node5node110_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1795.09 * C_node5node110_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1272.57 * C_node5node110_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
902.15 * C_node5node110_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
639.55 * C_node5node110_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
453.39 * C_node5node110_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node174_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node174_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node174_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node5node174_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node5node174_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node5node174_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node5node174_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node5node174_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node5node174_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node5node174_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node5node174_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node5node174_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node5node180_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node5node180_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node5node180_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
