UG,species,Presc,period,Vremovido(ton),Rait
1088,Sb,1700,3,0.0,11.0881
1088,Sb,1700,4,67.863588,11.0881
1088,Sb,1700,5,105.45670199999999,11.0881
1089,Ec,1700,1,169.773705,14.7024
1089,Sb,1700,1,0.0,5.776
1089,Sb,1700,2,0.0,17.8529
1089,Sb,1700,3,0.0,24.154
1089,Sb,1700,4,96.41221200000001,26.2543
1089,Sb,1700,5,149.819826,26.2543
109,Pb,503,1,0.0,8.8495
109,Pb,503,2,0.0,11.615
109,Pb,503,3,48.11928,14.9336
109,Pb,503,4,123.78269999999999,16.0398
109,Pb,503,5,903.31506,14.3805
1091,Ec,21,1,243.2997675,18.1813
1091,Ec,21,2,247.28827500000003,18.1813
1091,Ec,21,3,369.70519500000006,18.1813
1091,Ec,21,4,337.797,18.1813
1091,Ec,21,5,0.0,18.1813
1092,Ec,19503,1,641.1707550000001,7.9047
1092,Pb,19503,1,0.0,17.1269
1092,Pb,19503,2,0.0,23.7141
1092,Pb,19503,3,180.22740000000002,26.349
1092,Pb,19503,4,295.63614,26.349
1092,Pb,19503,5,0.0,26.349
1093,Ec,3,1,167.6633175,20.1709
1093,Ec,3,2,283.97729250000003,20.1709
1093,Ec,3,3,0.0,19.5946
1093,Ec,3,4,255.57957,24.2051
1093,Ec,3,5,584.68203,19.5946
1093,Pb,503,1,0.0,12.6623
1093,Pb,503,2,0.0,14.3506
1093,Pb,503,3,70.90866,17.7272
1093,Pb,503,4,191.95986000000002,21.1038
1093,Pb,503,5,1394.87454,18.5713
1094,Ec,19503,1,415.4768775,4.441
1094,Pb,19503,1,0.0,11.5466
1094,Pb,19503,2,0.0,15.9876
1094,Pb,19503,3,121.50551999999999,17.764
1094,Pb,19503,4,199.31166,17.764
1094,Pb,19503,5,0.0,17.764
1095,Ec,34503,1,620.4166650000001,14.8374
1095,Pb,34503,1,0.0,3.9046
1095,Pb,34503,2,0.0,12.4946
1095,Pb,34503,3,0.0,16.3992
1095,Pb,34503,4,156.49518,16.3992
1095,Pb,34503,5,251.14194,18.7419
1096,Ec,36,1,1856.0480400000001,86.5074
1096,Ec,36,2,3557.7729900000004,95.7761
1096,Ec,36,3,0.0,80.3283
1096,Ec,36,4,3292.9211475000006,95.7761
1096,Ec,36,5,2888.3444400000003,105.0447
