764.51 * C_node7node10_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
541.98 * C_node7node10_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
384.22 * C_node7node10_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
272.38 * C_node7node10_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
193.09 * C_node7node10_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1362.0 * C_node7node10_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
1146.77 * C_node7node10_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
812.97 * C_node7node10_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
576.33 * C_node7node10_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
408.57 * C_node7node10_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
289.64 * C_node7node10_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
1867.0 * C_node7node9_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
1571.96 * C_node7node9_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1114.39 * C_node7node9_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
790.02 * C_node7node9_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
560.06 * C_node7node9_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
397.03 * C_node7node9_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
2802.0 * C_node7node9_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
2359.21 * C_node7node9_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
1672.49 * C_node7node9_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1185.66 * C_node7node9_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
840.54 * C_node7node9_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
595.87 * C_node7node9_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node7node19_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node7node19_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node7node19_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node7node19_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node7node19_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node7node19_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node7node19_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node7node19_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node7node19_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node7node19_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node7node19_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node7node19_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
693.0 * C_node8node18_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
583.49 * C_node8node18_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
413.65 * C_node8node18_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
293.24 * C_node8node18_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
207.88 * C_node8node18_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
147.37 * C_node8node18_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
1038.0 * C_node8node18_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
873.97 * C_node8node18_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
619.57 * C_node8node18_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
439.23 * C_node8node18_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
311.38 * C_node8node18_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
220.74 * C_node8node18_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
2757.0 * C_node9node11_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
2321.32 * C_node9node11_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
1645.63 * C_node9node11_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
1166.62 * C_node9node11_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
827.04 * C_node9node11_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
586.3 * C_node9node11_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
4136.0 * C_node9node11_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
3482.4 * C_node9node11_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
2468.74 * C_node9node11_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
1750.14 * C_node9node11_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
1240.7 * C_node9node11_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
879.56 * C_node9node11_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node9node19_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node9node19_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node9node19_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node9node19_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node9node19_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node9node19_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node9node19_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node9node19_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node9node19_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node9node19_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node9node19_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node9node19_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node10node19_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node10node19_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node10node19_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node10node19_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
0.0 * C_node10node19_timber_t4 (type=B, prefix=C, width=timber, edge=None, period=4)
0.0 * C_node10node19_timber_t5 (type=B, prefix=C, width=timber, edge=None, period=5)
0.0 * C_node10node19_wide_t0 (type=B, prefix=C, width=wide, edge=None, period=0)
0.0 * C_node10node19_wide_t1 (type=B, prefix=C, width=wide, edge=None, period=1)
0.0 * C_node10node19_wide_t2 (type=B, prefix=C, width=wide, edge=None, period=2)
0.0 * C_node10node19_wide_t3 (type=B, prefix=C, width=wide, edge=None, period=3)
0.0 * C_node10node19_wide_t4 (type=B, prefix=C, width=wide, edge=None, period=4)
0.0 * C_node10node19_wide_t5 (type=B, prefix=C, width=wide, edge=None, period=5)
0.0 * C_node10node20_timber_t0 (type=B, prefix=C, width=timber, edge=None, period=0)
0.0 * C_node10node20_timber_t1 (type=B, prefix=C, width=timber, edge=None, period=1)
0.0 * C_node10node20_timber_t2 (type=B, prefix=C, width=timber, edge=None, period=2)
0.0 * C_node10node20_timber_t3 (type=B, prefix=C, width=timber, edge=None, period=3)
