"Source(x,y)","Target(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-13774.52216, 146320.91618)","(-13382.92928, 146531.36851)",0.0,False,True,0,0,0,0,0,False,
"(-13774.52216, 146320.91618)","(-13843.33068, 146371.05681)",0.0,False,True,0,0,0,0,0,False,
"(-13774.52216, 146320.91618)","(-13962.53738, 146402.88011)",0.0,False,True,0,0,0,0,0,False,
"(-13774.52216, 146320.91618)","(-13740.26288, 146249.11651)",0.0,False,True,0,0,0,0,0,False,
"(-13867.32058, 147174.92451)","(-13889.55158, 147172.20381)",0.022396865171046117,False,False,108,42,162,42,81,22.353,
"(-13867.32058, 147174.92451)","(-13788.95158, 147217.47001)",0.08917297646287224,True,False,431,168,646,168,323,22.353,
"(-13867.32058, 147174.92451)","(-13835.91738, 147077.74961)",0.11722631953656745,False,False,881,314,1321,314,661,False,"[(-13822.22618, 147128.26171)]"
"(-13867.32058, 147174.92451)","(-14063.64801, 146946.88794)",0.0,False,True,0,0,0,0,0,False,
"(-13867.32058, 147174.92451)","(-13754.70546, 147106.64356)",0.0,False,True,0,0,0,0,0,False,
"(-13867.32058, 147174.92451)","(-14094.27527, 147414.05318)",0.0,False,True,0,0,0,0,0,False,
"(-13889.55158, 147172.20381)","(-13867.32058, 147174.92451)",0.022396865171046117,False,False,108,42,162,42,81,22.353,
"(-13889.55158, 147172.20381)","(-14234.68988, 147049.58221)",0.3735122788526468,False,False,1804,702,2706,702,1354,False,"[(-13932.18388, 147166.98641), (-14001.65808, 147141.05341), (-14056.80878, 147124.81501), (-14112.46208, 147103.44731), (-14159.89478, 147061.02821)]"
"(-13889.55158, 147172.20381)","(-14261.79398, 147279.95771)",0.43655936889250757,False,False,2109,822,3164,822,1581,False,"[(-13892.61338, 147203.38411), (-13923.04048, 147227.19671), (-14019.61358, 147248.36341), (-14051.36368, 147278.79051), (-14126.77008, 147311.86351), (-14191.59308, 147310.54061)]"
"(-13889.55158, 147172.20381)","(-14063.64801, 146946.88794)",0.0,False,True,0,0,0,0,0,False,
"(-13889.55158, 147172.20381)","(-14284.63873, 147142.12782)",0.0,False,True,0,0,0,0,0,False,
"(-13889.55158, 147172.20381)","(-14094.27527, 147414.05318)",0.0,False,True,0,0,0,0,0,False,
"(-13788.95158, 147217.47001)","(-13867.32058, 147174.92451)",0.08917297646287224,True,False,431,168,646,168,323,22.353,
"(-13788.95158, 147217.47001)","(-13808.57768, 147230.26881)",0.02343060141461286,True,False,176,63,264,63,132,28.7513,
"(-13788.95158, 147217.47001)","(-13664.48292, 147134.51353)",0.1537286386886172,True,False,1155,413,1733,413,866,False,"[(-13677.55248, 147153.95701)]"
"(-13788.95158, 147217.47001)","(-13754.70546, 147106.64356)",0.0,False,True,0,0,0,0,0,False,
"(-13788.95158, 147217.47001)","(-14094.27527, 147414.05318)",0.0,False,True,0,0,0,0,0,False,
"(-13788.95158, 147217.47001)","(-13089.88771, 147018.35919)",0.0,False,True,0,0,0,0,0,False,
"(-13835.91738, 147077.74961)","(-13867.32058, 147174.92451)",0.11722631953656745,False,False,881,314,1321,314,661,False,"[(-13822.22618, 147128.26171)]"
"(-13835.91738, 147077.74961)","(-13700.70448, 146912.22621)",0.2155514071186132,False,False,1620,579,2429,579,1215,False,"[(-13748.39988, 146990.16951)]"
"(-13835.91738, 147077.74961)","(-13885.34898, 146976.36511)",0.11371940619232224,False,False,549,214,824,214,412,False,"[(-13866.84098, 147030.84941)]"
"(-13835.91738, 147077.74961)","(-13755.50766, 146880.03015)",0.0,False,True,0,0,0,0,0,False,
"(-13835.91738, 147077.74961)","(-14063.64801, 146946.88794)",0.0,False,True,0,0,0,0,0,False,
"(-13835.91738, 147077.74961)","(-13754.70546, 147106.64356)",0.0,False,True,0,0,0,0,0,False,
"(-14063.64801, 146946.88794)","(-13867.32058, 147174.92451)",0.0,False,True,0,0,0,0,0,False,
"(-14063.64801, 146946.88794)","(-13885.34898, 146976.36511)",0.0,False,True,0,0,0,0,0,False,
"(-14063.64801, 146946.88794)","(-13889.55158, 147172.20381)",0.0,False,True,0,0,0,0,0,False,
"(-14063.64801, 146946.88794)","(-14234.68988, 147049.58221)",0.0,False,True,0,0,0,0,0,False,
"(-14063.64801, 146946.88794)","(-14124.68208, 146675.54151)",0.0,False,True,0,0,0,0,0,False,
"(-14063.64801, 146946.88794)","(-13835.91738, 147077.74961)",0.0,False,True,0,0,0,0,0,False,
"(-13754.70546, 147106.64356)","(-13867.32058, 147174.92451)",0.0,False,True,0,0,0,0,0,False,
"(-13754.70546, 147106.64356)","(-13700.70448, 146912.22621)",0.0,False,True,0,0,0,0,0,False,
"(-13754.70546, 147106.64356)","(-13788.95158, 147217.47001)",0.0,False,True,0,0,0,0,0,False,
"(-13754.70546, 147106.64356)","(-13835.91738, 147077.74961)",0.0,False,True,0,0,0,0,0,False,
"(-13754.70546, 147106.64356)","(-13651.37428, 147115.01191)",0.0,False,True,0,0,0,0,0,False,
"(-13754.70546, 147106.64356)","(-13664.48292, 147134.51353)",0.0,True,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13867.32058, 147174.92451)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13889.55158, 147172.20381)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13808.57768, 147230.26881)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-14132.75218, 147599.00951)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13788.95158, 147217.47001)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13931.50718, 147431.49511)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-13910.47698, 147474.63001)",0.0,False,True,0,0,0,0,0,False,
"(-14094.27527, 147414.05318)","(-14299.97578, 147426.14361)",0.0,False,True,0,0,0,0,0,False,
