"Node1(x,y)","Node2(x,y)",edgelength,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,slope,removed_nodes
"(-13872.10778, 146541.02391)","(-13962.53738, 146402.88011)",0.2822792331089865,False,False,1363,530,2046,530,1023,False,"[(-13919.66048, 146530.34151)]"
"(-13872.10778, 146541.02391)","(-13843.33068, 146371.05681)",0.30052852521099527,False,False,2259,807,3387,807,1694,False,"[(-13808.40918, 146560.22881), (-13779.30498, 146515.24951), (-13852.65408, 146435.68581)]"
"(-13872.10778, 146541.02391)","(-14068.93818, 146558.79081)",0.20525930447643753,False,False,1543,551,2313,551,1158,False,"[(-13929.67678, 146571.66191), (-14009.90408, 146567.87161)]"
"(-13908.63028, 144471.70861)","(-13990.32948, 144140.17711)",0.49996385184179554,False,False,2415,938,3622,938,1812,False,"[(-13943.06928, 144426.81741)]"
"(-13908.63028, 144471.70861)","(-13631.48538, 144210.39821)",0.4958788677200642,False,False,2396,932,3594,932,1795,False,"[(-13801.72088, 144463.99491), (-13838.88828, 144488.54801), (-13832.16768, 144407.42741), (-13636.89578, 144267.64591)]"
"(-14234.68988, 147049.58221)","(-14493.23178, 146951.00001)",0.30609376878636574,False,False,1479,575,2219,575,1110,False,"[(-14279.11608, 147074.63491), (-14309.84298, 147031.15501)]"
"(-14234.68988, 147049.58221)","(-14124.68208, 146675.54151)",0.4554906040487939,False,False,2200,856,3300,856,1650,False,"[(-14307.13538, 146978.59171), (-14258.18738, 146893.92481)]"
"(-14686.02898, 143989.34941)","(-14153.33658, 143837.48941)",0.6827317958924937,False,False,5130,1832,7696,1832,3848,False,"[(-14533.33968, 143987.26011), (-14607.73368, 143980.17811), (-14487.12398, 143962.11491)]"
"(-14686.02898, 143989.34941)","(-14426.68938, 144118.58591)",0.30518928643054194,False,False,2293,819,3441,819,1720,False,"[(-14639.45538, 144025.15361)]"
"(-14686.02898, 143989.34941)","(-14883.20187, 143958.33582)",0.2112417524279281,False,False,1588,566,2382,566,1190,False,"[(-14736.56258, 143986.13811), (-14867.02568, 143942.16341)]"
