Node,Stand
"(-8773.39448, 148736.23991)","[1045, 1574]"
"(-8748.20638, 148761.42861)","[1045, 1574]"
"(-8732.03528, 148777.60021)","[1045, 1574]"
"(-8724.01828, 148785.61721)","[1045, 1574]"
"(-8722.34588, 148787.15001)","[1045, 1574]"
"(-8720.04698, 148788.75961)","[1045, 1574]"
"(-8718.63328, 148789.74951)","[1045, 1574]"
"(-8714.52578, 148791.66481)","[1045, 1574]"
"(-8710.14818, 148792.83781)","[1045, 1574]"
"(-8705.63388, 148793.23271)","[1045, 1574]"
"(-8694.83118, 148793.23291)","[1045, 1574]"
"(-8683.08368, 148793.23321)","[1045, 1574]"
"(-8676.60948, 148793.23331)","[1045, 1574]"
"(-8666.55248, 148797.88111)","[1045, 1574]"
"(-8657.63798, 148802.00091)","[1045, 1574]"
"(-8650.40498, 148809.23411)","[1045, 1574]"
"(-8647.34878, 148812.15041)","[1045, 1574]"
"(-8644.72168, 148813.98991)","[1045, 1574]"
"(-8643.63628, 148814.74981)","[1045, 1574]"
"(-8639.52888, 148816.66521)","[1045, 1574]"
"(-8635.15118, 148817.83821)","[1045, 1574]"
"(-8630.63688, 148818.23321)","[1045, 1574]"
"(-8622.32178, 148818.23331)","[1045, 1574]"
"(-8597.24478, 148818.29181)","[1045, 1574]"
"(-8584.46758, 148818.20651)","[1045, 1574]"
"(-8557.99168, 148818.23441)","[1045, 1574]"
"(-8527.00488, 148818.23501)","[1042, 1045, 1574]"
"(-8441.41388, 148818.23651)","[1042, 1574]"
"(-8428.40288, 148832.63961)","[1042, 1574, 1575]"
"(-8420.26968, 148839.38131)","[1574, 1575]"
"(-8420.93768, 148830.78071)",[1574]
"(-8421.69968, 148820.75021)",[1574]
"(-8421.88628, 148818.48871)",[1574]
"(-8422.78538, 148807.60561)",[1574]
"(-8442.97038, 148791.14311)",[1574]
"(-8456.65168, 148790.77541)",[1574]
"(-8483.67608, 148790.04951)",[1574]
"(-8576.60648, 148787.66521)",[1574]
"(-8596.66748, 148787.22691)",[1574]
"(-8600.15078, 148787.06111)",[1574]
"(-8612.35198, 148786.74791)",[1574]
"(-8621.32138, 148781.19531)",[1574]
"(-8621.58208, 148781.03381)",[1574]
"(-8623.83408, 148779.63971)",[1574]
"(-8646.94848, 148765.51401)",[1574]
"(-8651.26568, 148764.49821)",[1574]
"(-8691.51578, 148757.00621)",[1574]
"(-8705.29528, 148754.28721)",[1574]
"(-8706.36788, 148754.08461)",[1574]
"(-8706.70368, 148754.02111)",[1574]
"(-8719.75498, 148751.55541)",[1574]
"(-8745.30048, 148731.13221)",[1574]
"(-8781.27328, 148694.07861)",[1574]
"(-8791.30268, 148677.90831)",[1574]
"(-8799.82298, 148664.44261)",[1574]
"(-8805.91728, 148632.06481)",[1574]
"(-8805.88678, 148631.86561)",[1574]
"(-8806.06878, 148632.08811)",[1574]
"(-8804.78398, 148624.65581)",[1574]
"(-8803.76568, 148617.99941)",[1574]
"(-8802.22338, 148609.34681)",[1574]
"(-8797.70868, 148581.95851)",[1574]
"(-8792.29088, 148547.04641)",[1574]
"(-8791.50028, 148542.99471)",[1574]
"(-8790.51138, 148537.92661)",[1574]
"(-8789.95368, 148534.41501)",[1574]
"(-8788.47828, 148530.62121)",[1574]
"(-8782.98858, 148514.65361)",[1574]
"(-8760.87218, 148454.72801)",[1574]
"(-8757.40308, 148449.30751)",[1574]
"(-8749.45768, 148436.89311)",[1574]
"(-8719.40768, 148385.75751)",[1574]
"(-8708.75958, 148367.10171)",[1574]
"(-8682.89038, 148321.77781)",[1574]
"(-8669.16988, 148297.73911)",[1574]
"(-8661.13248, 148283.65741)",[1574]
"(-8628.66488, 148231.78191)",[1574]
"(-8625.32188, 148226.44111)",[1574]
"(-8625.31958, 148226.43761)",[1574]
"(-8624.23068, 148224.69781)",[1574]
