"Node1(x,y)","Node2(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-10682.58678, 147682.68901)","(-10067.24305, 148028.80374)",0.0,False,False,True,0,0,0,0,0,
"(-9559.28811, 151039.28307)","(-9566.42637, 150982.75877)",0.09646154007401847,False,True,False,466,181,699,181,350,"[(-9523.82198, 151011.23281)]"
"(-9559.28811, 151039.28307)","(-10017.11358, 151027.77671)",0.5176728259248096,False,False,False,2500,970,3751,970,1876,"[(-9563.16158, 151042.34661), (-9617.50108, 151079.26821), (-9652.63828, 151086.62931), (-9751.19298, 151118.90301), (-9780.29708, 151125.51761), (-9808.07838, 151071.27801), (-9850.41168, 151059.37171), (-9880.83878, 151043.49671), (-9937.72408, 151028.94461), (-9994.60948, 151028.94461), (-10014.45328, 151028.94471)]"
"(-9559.28811, 151039.28307)","(-9370.84798, 151072.67401)",0.5775469221155043,False,False,False,2788,1083,4186,1083,2092,"[(-9558.04738, 151065.45701), (-9572.59938, 151102.49871), (-9573.92228, 151165.99881), (-9551.43268, 151205.68641), (-9514.39098, 151253.31151), (-9513.06808, 151285.59071), (-9481.31808, 151290.88241), (-9459.25228, 151281.12691), (-9428.12668, 151248.89841), (-9378.22068, 151197.60331), (-9373.91718, 151159.85041), (-9377.06028, 151142.56371), (-9377.00228, 151142.49901), (-9376.01558, 151141.39621), (-9370.84348, 151135.61561), (-9368.02458, 151132.46501), (-9364.84968, 151128.91671)]"
"(-9559.28811, 151039.28307)","(-9451.80531, 151064.65268)",0.0,False,False,True,0,0,0,0,0,
"(-9559.28811, 151039.28307)","(-9787.88075, 150982.55589)",0.0,False,False,True,0,0,0,0,0,
"(-10225.27318, 150815.69021)","(-10228.14938, 150821.44261)",0.006431378716883001,14.1512,True,False,31,12,47,12,23,
"(-10225.27318, 150815.69021)","(-10218.71664, 150830.76025)",0.016434546612941168,14.1512,True,False,79,31,119,31,60,
"(-10225.27318, 150815.69021)","(-10283.879, 150641.97766)",0.0,False,False,True,0,0,0,0,0,
"(-8684.68075, 153202.36468)","(-8703.67818, 153204.60371)",0.0191289205640526,13.0327,False,False,92,36,139,36,69,
"(-8684.68075, 153202.36468)","(-8323.28988, 153083.83651)",0.4294164085249815,False,True,False,3228,1152,4838,1152,2419,"[(-8531.43408, 153212.54121), (-8548.89668, 153220.47871), (-8556.03708, 153222.56861), (-8581.44038, 153230.00371), (-8608.42798, 153245.08501), (-8628.27178, 153239.52871), (-8652.87808, 153230.00371), (-8668.75308, 153208.57241), (-8679.32018, 153204.34561), (-8514.76528, 153208.96931), (-8390.14628, 153156.58171), (-8383.79628, 153142.29411), (-8365.54008, 153128.00661), (-8351.25248, 153119.27531), (-8339.35308, 153103.09191), (-8334.74128, 153096.81971)]"
"(-8684.68075, 153202.36468)","(-8922.91238, 153401.61281)",0.3855951415465175,False,False,False,1865,726,2793,726,1396,"[(-8702.24938, 153195.87241), (-8722.09318, 153193.49111), (-8743.52448, 153203.01611), (-8765.67118, 153205.39741), (-8780.83088, 153205.39741), (-8798.29338, 153204.60361), (-8815.75598, 153203.01621), (-8826.01178, 153202.51791), (-8845.43498, 153205.08721), (-8861.06988, 153220.72171), (-8867.75068, 153227.40241), (-8876.28358, 153235.93521), (-8878.33018, 153238.03021), (-8879.33168, 153239.12301), (-8881.42728, 153242.11591), (-8881.93108, 153242.83551), (-8882.84988, 153244.80581), (-8883.84638, 153246.94301), (-8885.01938, 153251.32071), (-8885.41438, 153255.83531), (-8885.41448, 153264.73511), (-8885.41458, 153270.06481), (-8887.06128, 153277.90871), (-8889.03158, 153287.29381), (-8890.36858, 153293.66251), (-8893.09198, 153301.28801), (-8894.33738, 153304.77511), (-8899.50948, 153311.15921), (-8907.71338, 153321.28531), (-8910.41408, 153324.61891), (-8910.41428, 153345.25651), (-8919.73548, 153365.73351), (-8920.53118, 153367.48141), (-8921.23648, 153377.59191), (-8922.10918, 153390.10071), (-8922.71258, 153398.74931)]"
"(-8684.68075, 153202.36468)","(-8339.73285, 152830.3319)",0.0,False,False,True,0,0,0,0,0,
