"Source(x,y)","Target(x,y)"
"(-9566.58245, 147840.83851)","(-9737.58338, 147773.25181)"
"(-9472.98618, 150472.18171)","(-9628.96578, 150591.86421)"
"(-9844.34562, 150536.15574)","(-9628.96578, 150591.86421)"
"(-9540.77418, 150634.58821)","(-9628.96578, 150591.86421)"
"(-10538.85278, 147698.32011)","(-10303.39178, 147781.97041)"
"(-9074.43949, 150925.34608)","(-8537.58818, 151017.94901)"
"(-8849.463, 150892.34077)","(-8537.58818, 151017.94901)"
"(-8961.63542, 149290.1978)","(-8663.09928, 148954.39341)"
"(-8527.00488, 148818.23501)","(-8663.09928, 148954.39341)"
"(-8953.48438, 148779.78151)","(-8663.09928, 148954.39341)"
"(-8687.59806, 149113.73979)","(-8663.09928, 148954.39341)"
"(-8746.60526, 148807.62949)","(-8663.09928, 148954.39341)"
"(-9056.37368, 148999.23316)","(-8663.09928, 148954.39341)"
"(-8648.87098, 152906.36191)","(-8562.05388, 152884.52621)"
"(-8870.40298, 152853.96231)","(-8562.05388, 152884.52621)"
"(-8703.39839, 152860.25856)","(-8562.05388, 152884.52621)"
"(-9087.16518, 149863.16341)","(-9250.26218, 150098.02081)"
"(-9205.61003, 150261.34757)","(-9250.26218, 150098.02081)"
"(-9090.17281, 150041.98109)","(-9250.26218, 150098.02081)"
"(-9288.66848, 149878.09677)","(-9250.26218, 150098.02081)"
"(-9789.53378, 148484.73641)","(-9801.10198, 148388.50241)"
"(-9516.84491, 148293.55623)","(-9801.10198, 148388.50241)"
"(-9623.52531, 148188.20977)","(-9801.10198, 148388.50241)"
"(-9514.41648, 147613.78181)","(-9811.39208, 147594.29381)"
"(-9566.58245, 147840.83851)","(-9811.39208, 147594.29381)"
"(-9087.16518, 149863.16341)","(-8876.46568, 150032.73221)"
"(-9195.31222, 149600.1961)","(-8876.46568, 150032.73221)"
"(-9090.17281, 150041.98109)","(-8876.46568, 150032.73221)"
"(-10427.97478, 150424.28671)","(-10212.42188, 150389.66871)"
