"Source(x,y)","Target(x,y)",edgelength,slope,has_exit,has_source,Build5m,Maintain5m,Build10m,Maintain10m,Upgrade,removed_nodes
"(-9323.19848, 149279.06761)","(-9486.2341, 149237.7909)",0.1940039176484722,False,True,False,1456,520,2188,520,1093,"[(-9363.78008, 149302.85841), (-9379.75968, 149300.80111)]"
"(-9323.19848, 149279.06761)","(-9474.63395, 149158.3651)",0.0,False,False,True,0,0,0,0,0,
"(-9323.19848, 149279.06761)","(-9195.31222, 149600.1961)",0.0,False,False,True,0,0,0,0,0,
"(-9176.27018, 149207.79901)","(-9277.75008, 149252.42351)",0.11768880258436765,False,True,False,885,315,1327,315,663,"[(-9252.27138, 149248.45691), (-9204.65808, 149241.04421)]"
"(-9176.27018, 149207.79901)","(-9297.20097, 149159.6261)",0.13073062011484,False,True,False,631,246,947,246,473,"[(-9242.26708, 149177.39831), (-9285.61928, 149160.77551)]"
"(-9176.27018, 149207.79901)","(-9088.08928, 149237.55581)",0.0958070524801098,False,True,False,719,255,1079,255,540,"[(-9174.76378, 149208.43041), (-9172.01888, 149205.21591), (-9106.61478, 149230.68341), (-9106.11758, 149230.86871), (-9105.84448, 149230.97001), (-9104.63398, 149231.41901), (-9102.46138, 149232.22491), (-9095.93318, 149234.64641)]"
"(-9176.27018, 149207.79901)","(-9474.63395, 149158.3651)",0.0,False,False,True,0,0,0,0,0,
"(-9176.27018, 149207.79901)","(-9195.31222, 149600.1961)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9277.75008, 149252.42351)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9176.27018, 149207.79901)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9544.14028, 149227.88431)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9744.03568, 148959.42181)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9323.19848, 149279.06761)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9497.16298, 149226.43401)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9768.74118, 149033.78711)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9724.23318, 148977.57961)",0.0,False,False,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9297.20097, 149159.6261)",0.0,False,True,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9550.60081, 149219.79584)",0.0,False,True,True,0,0,0,0,0,
"(-9474.63395, 149158.3651)","(-9486.2341, 149237.7909)",0.0,False,True,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9277.75008, 149252.42351)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9176.27018, 149207.79901)",0.0,False,False,True,0,0,0,0,0,
"(-9195.31222, 149600.1961)","(-9444.16318, 149547.89841)",0.0,False,False,True,0,0,0,0,0,
