369.57 * M_node2node5_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
262.0 * M_node2node5_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
0.0 * M_node2node8_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
0.0 * M_node2node8_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
0.0 * M_node2node8_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
0.0 * M_node2node8_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
0.0 * M_node2node8_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
0.0 * M_node2node8_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
0.0 * M_node2node8_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
0.0 * M_node2node8_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
0.0 * M_node2node8_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
0.0 * M_node2node8_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
0.0 * M_node2node8_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
0.0 * M_node2node8_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
833.0 * M_node3node4_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
701.36 * M_node3node4_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
497.21 * M_node3node4_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
352.48 * M_node3node4_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
249.88 * M_node3node4_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
177.15 * M_node3node4_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
833.0 * M_node3node4_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
701.36 * M_node3node4_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
497.21 * M_node3node4_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
352.48 * M_node3node4_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
249.88 * M_node3node4_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
177.15 * M_node3node4_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
2286.0 * M_node3node5_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
1924.75 * M_node3node5_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
1364.49 * M_node3node5_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
967.31 * M_node3node5_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
685.75 * M_node3node5_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
486.14 * M_node3node5_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
2286.0 * M_node3node5_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
1924.75 * M_node3node5_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
1364.49 * M_node3node5_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
967.31 * M_node3node5_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
685.75 * M_node3node5_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
486.14 * M_node3node5_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
0.0 * M_node3node8_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
0.0 * M_node3node8_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
0.0 * M_node3node8_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
0.0 * M_node3node8_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
0.0 * M_node3node8_timber_t4 (type=B, prefix=M, width=timber, edge=None, period=4)
0.0 * M_node3node8_timber_t5 (type=B, prefix=M, width=timber, edge=None, period=5)
0.0 * M_node3node8_wide_t0 (type=B, prefix=M, width=wide, edge=None, period=0)
0.0 * M_node3node8_wide_t1 (type=B, prefix=M, width=wide, edge=None, period=1)
0.0 * M_node3node8_wide_t2 (type=B, prefix=M, width=wide, edge=None, period=2)
0.0 * M_node3node8_wide_t3 (type=B, prefix=M, width=wide, edge=None, period=3)
0.0 * M_node3node8_wide_t4 (type=B, prefix=M, width=wide, edge=None, period=4)
0.0 * M_node3node8_wide_t5 (type=B, prefix=M, width=wide, edge=None, period=5)
136.0 * M_node4node7_timber_t0 (type=B, prefix=M, width=timber, edge=None, period=0)
114.51 * M_node4node7_timber_t1 (type=B, prefix=M, width=timber, edge=None, period=1)
81.18 * M_node4node7_timber_t2 (type=B, prefix=M, width=timber, edge=None, period=2)
57.55 * M_node4node7_timber_t3 (type=B, prefix=M, width=timber, edge=None, period=3)
