flow_wide_node2node36_t4: lb=0.0, ub=9.0, type=I
flow_wide_node2node36_t5: lb=0.0, ub=9.0, type=I
flow_timber_node2node34_t1: lb=0.0, ub=9.0, type=I
flow_timber_node2node34_t2: lb=0.0, ub=9.0, type=I
flow_timber_node2node34_t3: lb=0.0, ub=9.0, type=I
flow_timber_node2node34_t4: lb=0.0, ub=9.0, type=I
flow_timber_node2node34_t5: lb=0.0, ub=9.0, type=I
flow_wide_node2node34_t1: lb=0.0, ub=9.0, type=I
flow_wide_node2node34_t2: lb=0.0, ub=9.0, type=I
flow_wide_node2node34_t3: lb=0.0, ub=9.0, type=I
flow_wide_node2node34_t4: lb=0.0, ub=9.0, type=I
flow_wide_node2node34_t5: lb=0.0, ub=9.0, type=I
flow_timber_node2node43_t1: lb=0.0, ub=9.0, type=I
flow_timber_node2node43_t2: lb=0.0, ub=9.0, type=I
flow_timber_node2node43_t3: lb=0.0, ub=9.0, type=I
flow_timber_node2node43_t4: lb=0.0, ub=9.0, type=I
flow_timber_node2node43_t5: lb=0.0, ub=9.0, type=I
flow_wide_node2node43_t1: lb=0.0, ub=9.0, type=I
flow_wide_node2node43_t2: lb=0.0, ub=9.0, type=I
flow_wide_node2node43_t3: lb=0.0, ub=9.0, type=I
flow_wide_node2node43_t4: lb=0.0, ub=9.0, type=I
flow_wide_node2node43_t5: lb=0.0, ub=9.0, type=I
flow_timber_node36node2_t1: lb=0.0, ub=9.0, type=I
flow_timber_node36node2_t2: lb=0.0, ub=9.0, type=I
flow_timber_node36node2_t3: lb=0.0, ub=9.0, type=I
flow_timber_node36node2_t4: lb=0.0, ub=9.0, type=I
flow_timber_node36node2_t5: lb=0.0, ub=9.0, type=I
flow_wide_node36node2_t1: lb=0.0, ub=9.0, type=I
flow_wide_node36node2_t2: lb=0.0, ub=9.0, type=I
flow_wide_node36node2_t3: lb=0.0, ub=9.0, type=I
flow_wide_node36node2_t4: lb=0.0, ub=9.0, type=I
flow_wide_node36node2_t5: lb=0.0, ub=9.0, type=I
flow_timber_node36node35_t1: lb=0.0, ub=9.0, type=I
flow_timber_node36node35_t2: lb=0.0, ub=9.0, type=I
flow_timber_node36node35_t3: lb=0.0, ub=9.0, type=I
flow_timber_node36node35_t4: lb=0.0, ub=9.0, type=I
flow_timber_node36node35_t5: lb=0.0, ub=9.0, type=I
flow_wide_node36node35_t1: lb=0.0, ub=9.0, type=I
flow_wide_node36node35_t2: lb=0.0, ub=9.0, type=I
flow_wide_node36node35_t3: lb=0.0, ub=9.0, type=I
flow_wide_node36node35_t4: lb=0.0, ub=9.0, type=I
flow_wide_node36node35_t5: lb=0.0, ub=9.0, type=I
flow_timber_node36node43_t1: lb=0.0, ub=9.0, type=I
flow_timber_node36node43_t2: lb=0.0, ub=9.0, type=I
flow_timber_node36node43_t3: lb=0.0, ub=9.0, type=I
flow_timber_node36node43_t4: lb=0.0, ub=9.0, type=I
flow_timber_node36node43_t5: lb=0.0, ub=9.0, type=I
flow_wide_node36node43_t1: lb=0.0, ub=9.0, type=I
flow_wide_node36node43_t2: lb=0.0, ub=9.0, type=I
flow_wide_node36node43_t3: lb=0.0, ub=9.0, type=I
flow_wide_node36node43_t4: lb=0.0, ub=9.0, type=I
flow_wide_node36node43_t5: lb=0.0, ub=9.0, type=I
flow_timber_node34node2_t1: lb=0.0, ub=9.0, type=I
flow_timber_node34node2_t2: lb=0.0, ub=9.0, type=I
flow_timber_node34node2_t3: lb=0.0, ub=9.0, type=I
flow_timber_node34node2_t4: lb=0.0, ub=9.0, type=I
flow_timber_node34node2_t5: lb=0.0, ub=9.0, type=I
flow_wide_node34node2_t1: lb=0.0, ub=9.0, type=I
flow_wide_node34node2_t2: lb=0.0, ub=9.0, type=I
flow_wide_node34node2_t3: lb=0.0, ub=9.0, type=I
