C_timber_node5node91_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node91_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node91_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node91_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node5node91_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node91_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node91_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node91_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node91_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node99_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node5node99_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node99_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node99_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node99_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node5node99_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node99_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node5node99_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node99_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node99_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node99_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node5node99_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node22_t0: lb=0.0, ub=0.0, type=B, cost=1140
C_timber_node6node22_t1: lb=0.0, ub=1.0, type=B, cost=1140
C_timber_node6node22_t2: lb=0.0, ub=1.0, type=B, cost=1140
C_timber_node6node22_t3: lb=0.0, ub=1.0, type=B, cost=1140
C_timber_node6node22_t4: lb=0.0, ub=1.0, type=B, cost=1140
C_timber_node6node22_t5: lb=0.0, ub=1.0, type=B, cost=1140
C_wide_node6node22_t0: lb=0.0, ub=0.0, type=B, cost=1711
C_wide_node6node22_t1: lb=0.0, ub=1.0, type=B, cost=1711
C_wide_node6node22_t2: lb=0.0, ub=1.0, type=B, cost=1711
C_wide_node6node22_t3: lb=0.0, ub=1.0, type=B, cost=1711
C_wide_node6node22_t4: lb=0.0, ub=1.0, type=B, cost=1711
C_wide_node6node22_t5: lb=0.0, ub=1.0, type=B, cost=1711
C_timber_node6node25_t0: lb=0.0, ub=0.0, type=B, cost=1443
C_timber_node6node25_t1: lb=0.0, ub=1.0, type=B, cost=1443
C_timber_node6node25_t2: lb=0.0, ub=1.0, type=B, cost=1443
C_timber_node6node25_t3: lb=0.0, ub=1.0, type=B, cost=1443
C_timber_node6node25_t4: lb=0.0, ub=1.0, type=B, cost=1443
C_timber_node6node25_t5: lb=0.0, ub=1.0, type=B, cost=1443
C_wide_node6node25_t0: lb=0.0, ub=0.0, type=B, cost=2164
C_wide_node6node25_t1: lb=0.0, ub=1.0, type=B, cost=2164
C_wide_node6node25_t2: lb=0.0, ub=1.0, type=B, cost=2164
C_wide_node6node25_t3: lb=0.0, ub=1.0, type=B, cost=2164
C_wide_node6node25_t4: lb=0.0, ub=1.0, type=B, cost=2164
C_wide_node6node25_t5: lb=0.0, ub=1.0, type=B, cost=2164
C_timber_node6node54_t0: lb=0.0, ub=0.0, type=B, cost=2832
C_timber_node6node54_t1: lb=0.0, ub=1.0, type=B, cost=2832
C_timber_node6node54_t2: lb=0.0, ub=1.0, type=B, cost=2832
C_timber_node6node54_t3: lb=0.0, ub=1.0, type=B, cost=2832
C_timber_node6node54_t4: lb=0.0, ub=1.0, type=B, cost=2832
C_timber_node6node54_t5: lb=0.0, ub=1.0, type=B, cost=2832
C_wide_node6node54_t0: lb=0.0, ub=0.0, type=B, cost=4246
C_wide_node6node54_t1: lb=0.0, ub=1.0, type=B, cost=4246
C_wide_node6node54_t2: lb=0.0, ub=1.0, type=B, cost=4246
C_wide_node6node54_t3: lb=0.0, ub=1.0, type=B, cost=4246
C_wide_node6node54_t4: lb=0.0, ub=1.0, type=B, cost=4246
C_wide_node6node54_t5: lb=0.0, ub=1.0, type=B, cost=4246
C_timber_node6node96_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node6node96_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node96_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node96_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node96_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node96_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node96_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node6node96_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node96_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node96_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node96_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node96_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node102_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node6node102_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node102_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node102_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node102_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node102_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node102_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node6node102_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node102_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node102_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node102_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node102_t5: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node108_t0: lb=0.0, ub=0.0, type=B, cost=0
C_timber_node6node108_t1: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node108_t2: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node108_t3: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node108_t4: lb=0.0, ub=1.0, type=B, cost=0
C_timber_node6node108_t5: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node108_t0: lb=0.0, ub=0.0, type=B, cost=0
C_wide_node6node108_t1: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node108_t2: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node108_t3: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node108_t4: lb=0.0, ub=1.0, type=B, cost=0
C_wide_node6node108_t5: lb=0.0, ub=1.0, type=B, cost=0
