variable,coefficient,type,prefix,width,edge,period
C_node6node84_wide_t0,146.0,B,C,wide,,0
C_node6node84_wide_t1,122.93,B,C,wide,,1
C_node6node84_wide_t2,87.15,B,C,wide,,2
C_node6node84_wide_t3,61.78,B,C,wide,,3
C_node6node84_wide_t4,43.8,B,C,wide,,4
C_node6node84_wide_t5,31.05,B,C,wide,,5
C_node6node56_timber_t0,2644.0,B,C,timber,,0
C_node6node56_timber_t1,2226.18,B,C,timber,,1
C_node6node56_timber_t2,1578.18,B,C,timber,,2
C_node6node56_timber_t3,1118.8,B,C,timber,,3
C_node6node56_timber_t4,793.14,B,C,timber,,4
C_node6node56_timber_t5,562.27,B,C,timber,,5
C_node6node56_wide_t0,3965.0,B,C,wide,,0
C_node6node56_wide_t1,3338.42,B,C,wide,,1
C_node6node56_wide_t2,2366.67,B,C,wide,,2
C_node6node56_wide_t3,1677.78,B,C,wide,,3
C_node6node56_wide_t4,1189.41,B,C,wide,,4
C_node6node56_wide_t5,843.19,B,C,wide,,5
C_node6node203_timber_t0,0.0,B,C,timber,,0
C_node6node203_timber_t1,0.0,B,C,timber,,1
C_node6node203_timber_t2,0.0,B,C,timber,,2
C_node6node203_timber_t3,0.0,B,C,timber,,3
C_node6node203_timber_t4,0.0,B,C,timber,,4
C_node6node203_timber_t5,0.0,B,C,timber,,5
C_node6node203_wide_t0,0.0,B,C,wide,,0
C_node6node203_wide_t1,0.0,B,C,wide,,1
C_node6node203_wide_t2,0.0,B,C,wide,,2
C_node6node203_wide_t3,0.0,B,C,wide,,3
C_node6node203_wide_t4,0.0,B,C,wide,,4
C_node6node203_wide_t5,0.0,B,C,wide,,5
C_node6node207_timber_t0,0.0,B,C,timber,,0
C_node6node207_timber_t1,0.0,B,C,timber,,1
C_node6node207_timber_t2,0.0,B,C,timber,,2
C_node6node207_timber_t3,0.0,B,C,timber,,3
C_node6node207_timber_t4,0.0,B,C,timber,,4
C_node6node207_timber_t5,0.0,B,C,timber,,5
C_node6node207_wide_t0,0.0,B,C,wide,,0
C_node6node207_wide_t1,0.0,B,C,wide,,1
C_node6node207_wide_t2,0.0,B,C,wide,,2
C_node6node207_wide_t3,0.0,B,C,wide,,3
C_node6node207_wide_t4,0.0,B,C,wide,,4
C_node6node207_wide_t5,0.0,B,C,wide,,5
C_node7node42_timber_t0,361.0,B,C,timber,,0
C_node7node42_timber_t1,303.95,B,C,timber,,1
C_node7node42_timber_t2,215.48,B,C,timber,,2
C_node7node42_timber_t3,152.76,B,C,timber,,3
C_node7node42_timber_t4,108.29,B,C,timber,,4
C_node7node42_timber_t5,76.77,B,C,timber,,5
C_node7node42_wide_t0,542.0,B,C,wide,,0
C_node7node42_wide_t1,456.35,B,C,wide,,1
C_node7node42_wide_t2,323.51,B,C,wide,,2
C_node7node42_wide_t3,229.35,B,C,wide,,3
C_node7node42_wide_t4,162.59,B,C,wide,,4
C_node7node42_wide_t5,115.26,B,C,wide,,5
C_node7node145_timber_t0,50.0,B,C,timber,,0
C_node7node145_timber_t1,42.1,B,C,timber,,1
C_node7node145_timber_t2,29.84,B,C,timber,,2
C_node7node145_timber_t3,21.16,B,C,timber,,3
C_node7node145_timber_t4,15.0,B,C,timber,,4
C_node7node145_timber_t5,10.63,B,C,timber,,5
C_node7node145_wide_t0,75.0,B,C,wide,,0
C_node7node145_wide_t1,63.15,B,C,wide,,1
C_node7node145_wide_t2,44.77,B,C,wide,,2
C_node7node145_wide_t3,31.74,B,C,wide,,3
C_node7node145_wide_t4,22.5,B,C,wide,,4
C_node7node145_wide_t5,15.95,B,C,wide,,5
C_node7node77_timber_t0,906.0,B,C,timber,,0
C_node7node77_timber_t1,762.83,B,C,timber,,1
C_node7node77_timber_t2,540.78,B,C,timber,,2
C_node7node77_timber_t3,383.37,B,C,timber,,3
C_node7node77_timber_t4,271.78,B,C,timber,,4
C_node7node77_timber_t5,192.67,B,C,timber,,5
C_node7node77_wide_t0,1359.0,B,C,wide,,0
C_node7node77_wide_t1,1144.24,B,C,wide,,1
C_node7node77_wide_t2,811.17,B,C,wide,,2
C_node7node77_wide_t3,575.06,B,C,wide,,3
C_node7node77_wide_t4,407.67,B,C,wide,,4
C_node7node77_wide_t5,289.0,B,C,wide,,5
C_node7node176_timber_t0,0.0,B,C,timber,,0
C_node7node176_timber_t1,0.0,B,C,timber,,1
C_node7node176_timber_t2,0.0,B,C,timber,,2
C_node7node176_timber_t3,0.0,B,C,timber,,3
C_node7node176_timber_t4,0.0,B,C,timber,,4
C_node7node176_timber_t5,0.0,B,C,timber,,5
C_node7node176_wide_t0,0.0,B,C,wide,,0
C_node7node176_wide_t1,0.0,B,C,wide,,1
C_node7node176_wide_t2,0.0,B,C,wide,,2
C_node7node176_wide_t3,0.0,B,C,wide,,3
C_node7node176_wide_t4,0.0,B,C,wide,,4
C_node7node176_wide_t5,0.0,B,C,wide,,5
C_node8node23_timber_t0,131.0,B,C,timber,,0
C_node8node23_timber_t1,110.3,B,C,timber,,1
C_node8node23_timber_t2,78.19,B,C,timber,,2
C_node8node23_timber_t3,55.43,B,C,timber,,3
C_node8node23_timber_t4,39.3,B,C,timber,,4
C_node8node23_timber_t5,27.86,B,C,timber,,5
C_node8node23_wide_t0,197.0,B,C,wide,,0
C_node8node23_wide_t1,165.87,B,C,wide,,1
C_node8node23_wide_t2,117.59,B,C,wide,,2
C_node8node23_wide_t3,83.36,B,C,wide,,3
C_node8node23_wide_t4,59.1,B,C,wide,,4
C_node8node23_wide_t5,41.89,B,C,wide,,5
C_node8node84_timber_t0,1729.0,B,C,timber,,0
C_node8node84_timber_t1,1455.77,B,C,timber,,1
C_node8node84_timber_t2,1032.02,B,C,timber,,2
C_node8node84_timber_t3,731.62,B,C,timber,,3
C_node8node84_timber_t4,518.66,B,C,timber,,4
C_node8node84_timber_t5,367.69,B,C,timber,,5
C_node8node84_wide_t0,2593.0,B,C,wide,,0
C_node8node84_wide_t1,2183.24,B,C,wide,,1
C_node8node84_wide_t2,1547.74,B,C,wide,,2
C_node8node84_wide_t3,1097.22,B,C,wide,,3
C_node8node84_wide_t4,777.84,B,C,wide,,4
C_node8node84_wide_t5,551.43,B,C,wide,,5
C_node8node106_timber_t0,2727.0,B,C,timber,,0
C_node8node106_timber_t1,2296.06,B,C,timber,,1
C_node8node106_timber_t2,1627.72,B,C,timber,,2
C_node8node106_timber_t3,1153.92,B,C,timber,,3
C_node8node106_timber_t4,818.04,B,C,timber,,4
C_node8node106_timber_t5,579.92,B,C,timber,,5
C_node8node106_wide_t0,4090.0,B,C,wide,,0
C_node8node106_wide_t1,3443.67,B,C,wide,,1
C_node8node106_wide_t2,2441.28,B,C,wide,,2
C_node8node106_wide_t3,1730.67,B,C,wide,,3
C_node8node106_wide_t4,1226.91,B,C,wide,,4
C_node8node106_wide_t5,869.78,B,C,wide,,5
C_node8node203_timber_t0,0.0,B,C,timber,,0
C_node8node203_timber_t1,0.0,B,C,timber,,1
C_node8node203_timber_t2,0.0,B,C,timber,,2
C_node8node203_timber_t3,0.0,B,C,timber,,3
C_node8node203_timber_t4,0.0,B,C,timber,,4
C_node8node203_timber_t5,0.0,B,C,timber,,5
C_node8node203_wide_t0,0.0,B,C,wide,,0
C_node8node203_wide_t1,0.0,B,C,wide,,1
C_node8node203_wide_t2,0.0,B,C,wide,,2
C_node8node203_wide_t3,0.0,B,C,wide,,3
C_node8node203_wide_t4,0.0,B,C,wide,,4
C_node8node203_wide_t5,0.0,B,C,wide,,5
C_node8node208_timber_t0,0.0,B,C,timber,,0
C_node8node208_timber_t1,0.0,B,C,timber,,1
C_node8node208_timber_t2,0.0,B,C,timber,,2
C_node8node208_timber_t3,0.0,B,C,timber,,3
C_node8node208_timber_t4,0.0,B,C,timber,,4
C_node8node208_timber_t5,0.0,B,C,timber,,5
C_node8node208_wide_t0,0.0,B,C,wide,,0
C_node8node208_wide_t1,0.0,B,C,wide,,1
C_node8node208_wide_t2,0.0,B,C,wide,,2
C_node8node208_wide_t3,0.0,B,C,wide,,3
C_node8node208_wide_t4,0.0,B,C,wide,,4
C_node8node208_wide_t5,0.0,B,C,wide,,5
C_node9node30_timber_t0,1370.0,B,C,timber,,0
C_node9node30_timber_t1,1153.5,B,C,timber,,1
C_node9node30_timber_t2,817.74,B,C,timber,,2
C_node9node30_timber_t3,579.71,B,C,timber,,3
C_node9node30_timber_t4,410.97,B,C,timber,,4
C_node9node30_timber_t5,291.34,B,C,timber,,5
C_node9node30_wide_t0,2053.0,B,C,wide,,0
C_node9node30_wide_t1,1728.57,B,C,wide,,1
C_node9node30_wide_t2,1225.42,B,C,wide,,2
C_node9node30_wide_t3,868.72,B,C,wide,,3
C_node9node30_wide_t4,615.85,B,C,wide,,4
C_node9node30_wide_t5,436.59,B,C,wide,,5
C_node9node42_timber_t0,1766.0,B,C,timber,,0
C_node9node42_timber_t1,1486.92,B,C,timber,,1
C_node9node42_timber_t2,1054.11,B,C,timber,,2
C_node9node42_timber_t3,747.28,B,C,timber,,3
C_node9node42_timber_t4,529.76,B,C,timber,,4
